"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-7.71543573128507,0.521252710366972,-14.8017182027759,1.42787980211178e-49
"mvpa_METS_log",-0.0261593992992816,0.00786029096675898,-3.32804464998932,0.000874578481214808
"BMI_log",1.98496195115943,0.120745301537167,16.43924795325,1.00154046303531e-60
"age",0.0198826635242496,0.00305138447310341,6.51594831772477,7.22318438854329e-11
"racehisp1",0.0190265366824362,0.0824383251948676,0.230797224924952,0.817472337228909
"racehisp2",0.656921165990892,0.131622400990908,4.99095261175392,6.00822380220365e-07
"racehisp4",0.307436619659277,0.103835662490313,2.96079990521521,0.00306841218093471
"racehisp97",-0.00284276630883101,0.159266742612119,-0.0178490892838458,0.985759243400455
"emply2",0.243319673726037,0.0549099473052592,4.43124944872661,9.36886305553607e-06
"educa2",-0.0312796893992787,0.0845590233514859,-0.369915452656763,0.711445487325434
"educa3",-0.175072916936257,0.083856052101863,-2.08777914709828,0.036817761454542
"educa4",-0.252095776472577,0.0881936441492981,-2.85843474214331,0.00425736667271611
"educa5",-0.324894913494991,0.0928204574508917,-3.50025115602218,0.000464819991659479
"incom2",0.105132785734054,0.100189505323964,1.04933930349397,0.294021982773875
"incom3",0.0711077402790762,0.110047867156939,0.646152825276203,0.518180387411156
"incom4",-0.0579677256903792,0.107810496348497,-0.537681651172433,0.590796849020407
"incom5",-0.0321228830201139,0.117827370345117,-0.272626664976277,0.785140212437742
"incom6",0.0270478671068817,0.11866548254513,0.227933738832563,0.819697753213532
"incom7",-0.122111131673465,0.126918011325903,-0.962126103283368,0.335986263287588
"disabled1",0.147222105735616,0.0563099781770629,2.61449410036506,0.00893597037616812
"disabled2",0.469652365107478,0.0482630468777621,9.73109647007962,2.22184921978382e-22
"transit_access",-0.0149653751901843,0.00780818445343327,-1.91662674971824,0.0552853671588608
"majrd_index",0.0331754673862304,0.0114588567838323,2.89518125691552,0.00378939653551184
"regional_access",0.0112113156322005,0.0109575045868132,1.02316321598375,0.306230681660196
