"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.47991474117955,0.237976097563022,6.21875371658967,5.01119138919653e-10
"walk_tr_any",0.378018098510578,0.0415409498938425,9.09989057728818,9.04228841900788e-20
"gender2",-0.177565199441066,0.0413432265926227,-4.29490424612266,1.74768752885708e-05
"age",-0.0128201271559457,0.00287323343026121,-4.46191632775905,8.12299452279966e-06
"racehisp1",-0.101970839813605,0.0793412010819657,-1.28521926090155,0.198715674796078
"racehisp2",-0.306571641217607,0.117073629603471,-2.61862250496518,0.00882855853386652
"racehisp4",-0.108310804159786,0.0985252001700818,-1.09932082322909,0.271628152713997
"racehisp97",-0.230839328362249,0.152817783732576,-1.51055278203882,0.130902431909315
"emply2",0.166231288609202,0.0548840111233707,3.02877441365464,0.00245547960774777
"educa2",0.137538576081359,0.0779931639277989,1.76346963188573,0.0778213147647161
"educa3",0.275008966227342,0.0772893590950208,3.55817371818599,0.000373442309024645
"educa4",0.32387818230845,0.0808535905518639,4.00573654302584,6.18245285752679e-05
"educa5",0.352253582543725,0.0853284136525471,4.12820967208043,3.65598672830614e-05
"own2",-0.573932205621464,0.0510757135291664,-11.2368906073867,2.68679822253513e-29
"hhsize",-0.0885982184094589,0.0232748814732439,-3.80660234559341,0.000140889004176675
"disabled1",-0.153776760010499,0.0560305645977078,-2.74451562490216,0.00606002695435783
"disabled2",-0.687190093566425,0.0446742675482162,-15.3822352616023,2.15381762686318e-53
"walk_index",-0.0206000590655416,0.0048783303853778,-4.22276833223264,2.41319832125698e-05
"park_access",0.0194557785751967,0.0109729546826509,1.77306652017417,0.0762176849022362
