"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",6.03107570208949,0.349112658103497,17.2754426460857,7.20187525819342e-67
"mvpa_METS_log",-0.12213674662392,0.00897126053536923,-13.6142235689617,3.29630250480061e-42
"gender2",-0.192606466923885,0.0539295112581887,-3.57144840422858,0.000355012491818396
"age",-0.0871931623229565,0.00411394477841596,-21.1945388232774,1.07244110832265e-99
"racehisp1",-0.327735168525846,0.0932013014807048,-3.51642266061806,0.00043740406988306
"racehisp2",0.23205980743961,0.132740885439816,1.7482165097115,0.0804265438443743
"racehisp4",-1.55422199990563,0.155159058589939,-10.0169594610212,1.28392076718861e-23
"racehisp97",-0.100998445826674,0.175190739708678,-0.576505618930675,0.564273473011173
"educa2",-0.184324151661296,0.0972256283331921,-1.89583914057739,0.0579813184899918
"educa3",-0.341749267891779,0.097812008800155,-3.49393977369411,0.000475948375433788
"educa4",-0.498236204599865,0.107534538416065,-4.6332667805029,3.59940207867411e-06
"educa5",-0.496188657477998,0.114016619354706,-4.35189764690666,1.34964269256445e-05
"hhsize",0.0883423484239298,0.0289013067545186,3.05669045259062,0.00223795257743533
"incom2",0.0256838074427489,0.123396364197111,0.208140714759814,0.835119097460908
"incom3",-0.071470104637851,0.137610531607939,-0.519365079131251,0.603506178462794
"incom4",-0.0121243709936379,0.135202285058465,-0.0896757846096681,0.928544859476952
"incom5",-0.186308717103263,0.151030912969037,-1.23358002306097,0.217359440797523
"incom6",-0.0834193742198671,0.151470488724682,-0.550730211028057,0.581818631411098
"incom7",-0.419196674333533,0.169766236549121,-2.46925821561839,0.013539348056199
"disabled1",0.153275337233659,0.0802670988941332,1.90956617774138,0.0561890933932133
"disabled2",0.761153275404351,0.0586433204260246,12.9793686625317,1.60195586687635e-38
"rail_any",-0.173567283554919,0.10452170537054,-1.66058602794133,0.0967966170202242
"regional_access",-0.0410092437827958,0.0129963136789402,-3.15545198399211,0.0016024964082931
