"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.73915191484923,0.293162624182105,9.34345543703327,9.32403838034663e-21
"walk_tr_any",0.736650461581655,0.0540694926129614,13.6241423024759,2.87771247456552e-42
"gender2",-0.102845024446227,0.0510764920055501,-2.01354909877232,0.0440568951484514
"age",-0.020645511407654,0.00340308859026025,-6.06669819491098,1.30566577697604e-09
"racehisp1",-0.0341130581649067,0.0936075231984892,-0.36442645846501,0.715539580874749
"racehisp2",-0.407627676889417,0.131237359710956,-3.10603381374937,0.00189615031656345
"racehisp4",0.391148073538384,0.12279785535937,3.18530052820288,0.00144603753913853
"racehisp97",-0.310803531487865,0.168562617161976,-1.84384614287998,0.065205565862884
"emply2",0.261764892339494,0.0694813288410202,3.76741344337897,0.000164947703268438
"educa2",-0.0426232091826817,0.0885414864894981,-0.481392518610327,0.630237552873212
"educa3",0.0991420997733262,0.0891910221691743,1.11157039533953,0.26632290723336
"educa4",0.142185956727768,0.0971621457640014,1.46338839688787,0.143361131823909
"educa5",0.361904680614373,0.106683059577845,3.39233503469495,0.000692996472192765
"own2",-0.270862796116845,0.0608485880920994,-4.45142286139609,8.53031757763952e-06
"hhsize",-0.108284359475108,0.0268712183042984,-4.02975251247863,5.58356076784924e-05
"incom2",0.158826306206546,0.105406150167355,1.50680302766372,0.13186115328995
"incom3",0.367824180404516,0.120760538043985,3.04589716444077,0.00231987164545247
"incom4",0.402984470507362,0.120212498589536,3.3522676529946,0.000801524884181202
"incom5",0.465256675037671,0.137235662618895,3.39020241647897,0.000698410344287011
"incom6",0.466538051605616,0.140042586414734,3.33140127977907,0.000864099425386025
"incom7",0.444553359150479,0.153132482374113,2.90306375406627,0.00369531402234506
"disabled1",-0.20152545052763,0.072085653315921,-2.79563881656769,0.00517972517724242
"disabled2",-1.03517854677999,0.0532380696822336,-19.4443290855349,3.25504642274328e-84
"walk_index",-0.0183091647566233,0.00702863472658271,-2.60493900577547,0.00918906166880543
"transit_access",0.0234669879711715,0.0104996289784233,2.23503021100994,0.0254153654314278
"majrd_index",-0.018016833025935,0.0132948104870053,-1.35517787512242,0.175360891992562
"park_access",0.0340629565619398,0.0133240902384305,2.55649398588523,0.0105732898790897
