"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",6.13283420337348,0.137813627292685,44.5009272584398,0
"walk_tr_any",0.0832252451145073,0.0226574197207778,3.67320048532208,0.000240922327960076
"gender2",-0.191801804269864,0.0231457734878321,-8.28668803704897,1.33175813168894e-16
"age",-0.0101893676361684,0.00166368363046502,-6.12458249247808,9.47343885539874e-10
"racehisp1",0.0407184841417,0.0453739002531009,0.897398811091125,0.369530177970385
"racehisp2",-0.191294772816438,0.069466280029008,-2.75377885121467,0.00590299230616253
"racehisp4",0.0435906508124265,0.0552876189596838,0.788434221488417,0.430463549644264
"racehisp97",0.0444102446956813,0.0918153446572589,0.483690878267266,0.628617048697398
"emply2",0.100091201283141,0.0302429503315099,3.30957132773042,0.000938065929571328
"educa2",-0.0269637622336071,0.0461232291068408,-0.584602655879701,0.558829591657855
"educa3",0.0595768581111363,0.0454433838164916,1.31101280555423,0.18988692317736
"educa4",0.0721678984561402,0.0468905018639216,1.53907285244195,0.123821706060938
"educa5",0.120662218791636,0.0488120797977225,2.47197454588416,0.0134552852071904
"own2",-0.154688729311791,0.0299252641239653,-5.16916838798795,2.40194842142843e-07
"hhsize",-0.0333413035971735,0.0134404302579705,-2.48067234137845,0.0131316434312567
"disabled1",-0.0628171186494563,0.0308020418461039,-2.03938164110383,0.0414411333197499
"disabled2",-0.39305212465856,0.0263193050018328,-14.9339857048348,7.81766587606689e-50
"walk_index",-0.00577607265991615,0.0027509640834883,-2.09965397025174,0.035787093745863
"rail_any",-0.0525346875849773,0.0450098579966876,-1.1671818113455,0.243167911729518
"majrd_index",-0.00764682731554209,0.00638821670570345,-1.19702065033501,0.231330069406698
