"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.157193951793841,0.371325446012792,-0.423332021766226,0.6720530342685
"walk_tr_any",0.32376225579968,0.052566922725463,6.15904905620151,7.31830562771395e-10
"gender2",-0.295405052522493,0.0534894114338605,-5.52268280027274,3.33862151123654e-08
"age",-0.0263091432218992,0.00394809960435119,-6.66374860272117,2.66929915954184e-11
"racehisp1",0.190856678623743,0.11952957981239,1.59673177905675,0.110325508642033
"racehisp2",-0.0465355186390529,0.17704437199487,-0.262846641859935,0.792668784100219
"racehisp4",-0.115512687688963,0.149376154173132,-0.773300720776891,0.43934442930949
"racehisp97",0.131634849084265,0.227241460457988,0.579273028869667,0.562404961291464
"educa2",0.167969223930064,0.138113862436884,1.21616484374856,0.223922133100217
"educa3",0.49861023618528,0.134302985337769,3.71257746007124,0.000205159242005492
"educa4",0.602755996722302,0.137629790746715,4.37954597948618,1.1892682753863e-05
"educa5",0.819888078601447,0.140405035899324,5.83944922879647,5.23736736660429e-09
"own2",-0.214319552538672,0.0779619331511819,-2.74902819717245,0.00597722440478681
"hhsize",-0.0949459875143578,0.0347758525375976,-2.73022745917466,0.00632906405802457
"incom2",0.248949495024246,0.167946127437921,1.48231756707976,0.138255816182814
"incom3",0.389762329865582,0.177993198208717,2.18975968625802,0.0285416698589746
"incom4",0.44299084843309,0.175126227224216,2.52955171509475,0.0114208341823114
"incom5",0.552241782427035,0.183280590382489,3.01309473782554,0.00258598175111473
"incom6",0.60593292621056,0.183247461277645,3.30663749437974,0.00094422998532712
"incom7",0.655181231060347,0.189960492616067,3.44903943992474,0.000562584525187059
"disabled1",-0.184937947309439,0.0720044778630043,-2.5684228647738,0.0102162446038601
"disabled2",-0.929302260016946,0.0682197919657067,-13.6221796232403,2.95611572352389e-42
"walk_index",-0.0111502977665714,0.006877646246776,-1.62123746504093,0.104966720718341
"regional_access",0.0284075102985614,0.0148665098208204,1.91083923805552,0.0560252435184897
"park_access",0.0292371099912253,0.0143071577514787,2.04353027338387,0.0409999737021622
