"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.027273788527,0.120991298928066,41.5507051586902,1.34606572328366e-271
"walk_tr_any",-0.103097675061824,0.0424949439315981,-2.42611627462729,0.015350538796459
"gender2",-0.110345505857788,0.042718867358573,-2.58306253608205,0.00986417787402574
"educa2",-0.0171182096330342,0.116823657763543,-0.146530334358151,0.883517722396313
"educa3",-0.0508547278637035,0.111230679787822,-0.45720054899162,0.647577264780286
"educa4",-0.152495454066063,0.111371087210161,-1.36925532367569,0.171075396815558
"educa5",0.0293741387269506,0.11127405807977,0.263980115705791,0.791822823678169
"disabled1",0.0463068085930424,0.0579130814743628,0.799591515667176,0.424043806343137
"disabled2",-0.191695803227361,0.0577627751099658,-3.31867371092231,0.000920919440284505
"walk_index",-0.00836769050822181,0.00516374207707482,-1.62047026813585,0.105291176477907
"rail_any",-0.180230334246055,0.087899271030438,-2.05041898679278,0.040455499743777
"majrd_index",0.0129992210830377,0.0123165315372167,1.0554287173916,0.291358579940871
"school_distance",-0.0124268906186116,0.00944717635253142,-1.31540792241925,0.188525761757338
