"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.86861436898266,0.248711081239438,7.51319305786668,5.77023355700306e-14
"walk_tr_any",0.601566043888616,0.0417592213412882,14.4055857500828,4.7725440740608e-47
"age",-0.0219586004624632,0.00292552487752256,-7.50586694072435,6.1023378556614e-14
"racehisp1",-0.0873159993281289,0.0805826060462036,-1.08355889207734,0.278560425740066
"racehisp2",-0.386302870330212,0.118198930586362,-3.26824336238779,0.00108217270600663
"racehisp4",0.283964474284849,0.101371903163277,2.80121478855414,0.00509106213513307
"racehisp97",-0.265898181416925,0.154812090644715,-1.71755436096491,0.0858779309447754
"emply2",0.259087969003731,0.055897542364654,4.63505116760843,3.56849200247386e-06
"educa2",-0.139256332393529,0.0795296373917552,-1.75099921187325,0.0799460457731422
"educa3",0.0418663991381802,0.0793137819576277,0.527857808628351,0.597598030326819
"educa4",0.117662106099569,0.084687982654428,1.38936012420668,0.164723269485854
"educa5",0.180793361340332,0.0899526845941963,2.009871769319,0.0444447623452071
"hhsize",-0.0523937312674995,0.0235424663654043,-2.22549882643104,0.0260477698239092
"incom2",-0.0591368315110358,0.0958883566192729,-0.616725884101237,0.537415545295778
"incom3",0.041101088579307,0.106411201162247,0.386247764618685,0.699313182139796
"incom4",0.112886411745171,0.104915412275694,1.07597548631398,0.281938219833414
"incom5",0.226433592682357,0.116326436298988,1.94653597141381,0.051590391346605
"incom6",0.20657978317655,0.117499419644588,1.75813449803763,0.0787246271493866
"incom7",0.0423809236606183,0.12598134126349,0.336406353794714,0.736564458778598
"disabled1",-0.190268726879148,0.0562601901808127,-3.38194247597901,0.000719752147801671
"disabled2",-0.892779195342069,0.045128128364617,-19.7832090027926,4.15395126489516e-87
"transit_access",0.0158797178568407,0.00806979658391448,1.96779654749833,0.0490914515998495
"rail_any",-0.205066166264354,0.0808604087036605,-2.53605156778129,0.0112110223915755
"majrd_index",-0.0219225730194299,0.0114076643933233,-1.92174070550856,0.0546383925870226
"regional_access",0.0181845567917046,0.0108301921056472,1.67906133282923,0.0931400911225928
"park_access",0.0316579786285808,0.0108460725206107,2.91884261039389,0.00351333560814657
