"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.36375170572414,0.147803301020773,36.2897964299884,1.61269822191097e-262
"walk_tr_any",-0.00393879750153288,0.0238098050062379,-0.165427541321777,0.868612673997716
"gender2",-0.107184348593371,0.0247282872459482,-4.33448331974277,1.48328323017771e-05
"age",-0.00911029948125377,0.00180937579184376,-5.03505105037928,4.90717410652636e-07
"racehisp1",0.0313001919178086,0.0476953333928247,0.656252712608512,0.511685002117387
"racehisp2",-0.0970744752212133,0.0744639300043564,-1.30364426394812,0.192401536492267
"racehisp4",0.168126195334403,0.0571144733718853,2.94367058660762,0.00325504357519007
"racehisp97",-0.031022609015166,0.0995501594940086,-0.311627918758213,0.755333409357061
"emply2",0.104467904842814,0.0323187326415503,3.23242578851949,0.00123362557462735
"educa2",-0.063974483161288,0.0494914022341477,-1.29263832248316,0.19618258931246
"educa3",-0.01153570709975,0.0485397788042106,-0.23765471091824,0.81215647874558
"educa4",0.00427937248330054,0.0497360345639292,0.0860416903120808,0.931435952886295
"educa5",0.0539319236550985,0.0518861748120231,1.03942762885271,0.298644952563657
"hhsize",-0.0364581853750205,0.0142880385786041,-2.55165782024241,0.0107440947109281
"disabled1",-0.0401707820602641,0.0326198649339045,-1.23148217019474,0.218187583235555
"disabled2",-0.301365218162949,0.028898136536211,-10.4285346491225,2.91788817840897e-25
"walk_index_chis_senior_walk_le_min",0.0144536370191886,0.00604057550488368,2.39275827402591,0.0167507535438862
"park_access",0.0103259509444638,0.00656128727368677,1.5737690659994,0.115590008533516
