"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.09776015425067,0.248352423452558,4.42017089662253,9.86228761807848e-06
"gender2",-0.190703265930811,0.0416191822790991,-4.58210025973002,4.60329084230179e-06
"age",-0.0151354668646935,0.00296456938011616,-5.10545206538578,3.3000463622887e-07
"racehisp1",-0.173327312677356,0.0799688489535474,-2.16743538197028,0.0302016718360956
"racehisp2",-0.448941073468537,0.120324669037092,-3.73108089190044,0.000190659986974098
"racehisp4",-0.178155858412426,0.0986427742468581,-1.80607104547347,0.0709072428797038
"racehisp97",-0.43151300141709,0.164595523549598,-2.6216569692253,0.00875034560661523
"emply2",-0.137862666407348,0.054348294544523,-2.53665119692778,0.011191840226667
"educa2",-0.0604544995329346,0.0822978957227113,-0.734581352318238,0.462594498237362
"educa3",0.15939822540556,0.0809944449737623,1.96801429353823,0.0490663931219323
"educa4",0.302848500686771,0.0838101623886831,3.61350571404769,0.000302084694933399
"educa5",0.416234082749353,0.0876064772875094,4.75117931501052,2.02233690508845e-06
"own2",0.296081270839302,0.0519885061239636,5.69512942213253,1.2327837050721e-08
"hhsize",-0.048117704236186,0.0238726922491352,-2.01559605150647,0.0438422330093306
"disabled1",-0.0774935468167998,0.056232482116967,-1.37809223245043,0.168174813466789
"disabled2",-0.515657061179244,0.0467738573502786,-11.0244715828675,2.9122379911535e-28
"walk_index",0.0386137772642539,0.00635176661894537,6.07921851994386,1.20769683089288e-09
"transit_access",0.0119701823927222,0.00896307809799141,1.33549906202476,0.181713062063428
"rail_any",0.21016163419554,0.0795953545712241,2.64037562653837,0.00828141830511832
"majrd_index",-0.0195899515560776,0.011423191303907,-1.71492808225819,0.0863584132605209
"regional_access",0.0451095349126859,0.0119021301637084,3.79003878232088,0.000150623765843804
"school_distance",-0.0181532820432883,0.0090896766457309,-1.99713177385845,0.0458108701113216
