"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.71552606803934,0.172350954586292,27.3600229215928,5.57146250086555e-152
"gender2",-0.122375893564065,0.0315061492775356,-3.88419074911578,0.000104228068914129
"age",-0.00478622869600604,0.00234786128588333,-2.03854832684689,0.0415567207354237
"racehisp1",-0.130976807726491,0.0569954344267059,-2.29802279856157,0.0216086925034468
"racehisp2",-0.331282182923764,0.0930941840330493,-3.55857013372775,0.000376941762234487
"racehisp4",0.0550452096493456,0.0727444190465062,0.756693233252089,0.44927549561155
"racehisp97",0.124714004781229,0.133518248917004,0.934059619511279,0.350326054873224
"emply2",0.103072105752612,0.040471434321464,2.54678657874865,0.0109068519537367
"own2",0.14605692381231,0.0389331495631057,3.75147979167651,0.000178130529434537
"disabled1",0.0220174019228594,0.0432097426031008,0.509547166829904,0.61039512759005
"disabled2",-0.23156374286981,0.0375964582308677,-6.15919035372565,7.98677271704803e-10
"walk_index",0.0107039642484951,0.00467026078319321,2.29194144511486,0.0219575543531104
"transit_access",-0.0126602821936968,0.00661580221141231,-1.91364278875474,0.0557327301476406
"rail_any",0.0591993015333914,0.0575593803026029,1.02849094660448,0.303777311461842
"regional_access",-0.0137923782488085,0.0090015301442573,-1.53222596911567,0.125540902039443
