"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",75.6797020235389,6.9052554542612,10.959725172345,2.98378985663472e-27
"pa60_daysperweek",0.180195897047718,0.27501829736026,0.65521421220811,0.512398379017823
"gender2",-3.351844588466,1.22871167173849,-2.72793419771419,0.00642390461381596
"age",-0.791191018071235,0.354372263198994,-2.23265503606006,0.0256720086868208
"racehisp1",-5.06483519547206,1.67838022610314,-3.01769236594951,0.00257630234667171
"racehisp2",4.25424357545381,3.46743295581423,1.2269144435281,0.219986091180364
"racehisp4",-12.6026350524432,2.10109632020313,-5.99812342312074,2.32748993281131e-09
"racehisp97",-1.2363701091487,2.92170752747881,-0.423166965728287,0.672214827043328
"educa2",0.767526645837141,2.17175125202752,0.353413700174267,0.72381219329531
"educa3",2.42834587462588,2.23236666004937,1.0877898859913,0.276807085121113
"educa4",-3.02981006628543,2.39240068582365,-1.26643086345812,0.205492997744474
"educa5",-2.84864358445928,2.57988850890555,-1.10417313563203,0.269638847242331
"hhsize",0.787413924900704,0.488335561313972,1.61244436670145,0.107008772086403
"incom2",0.249255693375289,3.49024517857327,0.0714149524238233,0.943074003811915
"incom3",1.3017669775527,3.87426386698313,0.3360036957334,0.736900135733424
"incom4",-2.55352534544172,3.72731864730519,-0.685083725612752,0.493363294345051
"incom5",-5.66942309566055,3.89848745977596,-1.45426223738228,0.146016325935779
"incom6",-5.97214488093876,3.7941064336616,-1.57405834163044,0.115617814155281
"incom7",-6.19937649897139,3.78946688550524,-1.63594951117902,0.101993261713208
"majrd_index",0.378306029911435,0.331755683641897,1.1403151432359,0.254279211907999
"park_access",-0.493799412129331,0.345586394564285,-1.42887399474135,0.153182480257885
