"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.67063334792804,0.446296202970124,-5.98399298527489,2.17732695035535e-09
"pa60_daysperweek",-0.217601855915752,0.037569960611555,-5.79191067474334,6.95901536738986e-09
"BMIPCT",0.0201665431182695,0.00317533023756769,6.35100654403653,2.13910608042297e-10
"gender2",-0.493763680877577,0.165125225465087,-2.99023773918767,0.00278760392777849
"racehisp1",-0.682407021513527,0.220137808523215,-3.09990830785236,0.00193580559489779
"racehisp2",-1.06527428461464,0.54152257907572,-1.96718350402465,0.0491620590767883
"racehisp4",0.0698738093789486,0.245822352157547,0.284245141931466,0.776222523239295
"racehisp97",-0.260894055351797,0.384269712310856,-0.678934735144429,0.497179215735742
"emply2",0.343304539134465,0.166430571188286,2.06274926946011,0.0391364561845754
"educa2",-0.138671214314825,0.227927561802052,-0.608400376060077,0.542921962127088
"educa3",-0.214528036401382,0.242519557827471,-0.884580354356402,0.376383006259499
"educa4",-0.641947204742192,0.285922554813541,-2.24517861195255,0.024756668569217
"educa5",-0.719596883073683,0.330583668926344,-2.17674661731101,0.0294994780081615
"own2",0.282965544972055,0.176489166066596,1.60330263482168,0.108867855070533
"hhsize",0.0597297037981694,0.0570532452925764,1.04691159095101,0.295140355458602
"walk_index",-0.0400856598812052,0.0260560685769932,-1.53843853161331,0.123941427104051
"transit_access",0.0404897661909227,0.0367399900735881,1.10206252396432,0.2704344905054
"majrd_index",-0.0459032925593567,0.0431399999688055,-1.06405407029554,0.287304205821424
"regional_access",0.0499775984406752,0.0442408555283109,1.12967070468819,0.258615005825359
"park_access",0.0758556116914713,0.0490349337966827,1.54697081892671,0.121870282402332
