"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.638089478795623,0.348709716622934,-1.82985861413664,0.0672710833596121
"pa60_daysperweek",-0.0999112247190417,0.0325846130868724,-3.0662087179821,0.00216791924019597
"gender2",-0.812617710601817,0.153319458197999,-5.30016033289388,1.15701029676111e-07
"racehisp1",-0.346148320263646,0.187119998411951,-1.84987346730086,0.0643317888519949
"racehisp2",0.254263663230552,0.323503783620839,0.785968128053058,0.431886159591947
"racehisp4",-1.40078455904512,0.331500313220658,-4.22559045400572,2.3831507169846e-05
"racehisp97",-0.91168740737169,0.44310708098154,-2.05748778681709,0.0396393285300781
"own2",0.25238486269016,0.176700213097554,1.42832234475473,0.153199099206576
"incom2",-0.300199988848714,0.310929593039715,-0.965491852717824,0.334298514785163
"incom3",-0.539013223656267,0.366610657609728,-1.47026064973285,0.141491174143402
"incom4",-0.430937517579798,0.355588327473335,-1.21190006612946,0.225550636843518
"incom5",-0.917619970752748,0.403728406873601,-2.27286451765589,0.0230343456151231
"incom6",-0.965463263282764,0.390409384458028,-2.47295096305903,0.0134002528511877
"incom7",-1.22658063020124,0.395893448121243,-3.09825948376291,0.00194660905826802
"walk_index",-0.0263572539824308,0.0184445397079795,-1.42900036540506,0.153004128411457
"majrd_index",0.0526131307317057,0.0379397969174339,1.38675309322832,0.165517064795751
