"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.31162059498773,0.523940565209505,2.50337668445897,0.0123014540364738
"pa60_daysperweek",-0.0437936338529202,0.0235988336399693,-1.85575416654266,0.063488606215274
"gender2",-0.653348067288797,0.108172853341818,-6.03985239461388,1.54255272473877e-09
"age",-0.0796558554450318,0.0304701607030403,-2.61422498625298,0.0089430124749787
"racehisp1",-0.49329620632338,0.141244833435026,-3.49249026903559,0.000478539031620491
"racehisp2",0.194689781839039,0.264799754884552,0.735233995680701,0.462196998281844
"racehisp4",-0.914928859062213,0.193778852001765,-4.72151036922172,2.34099693973872e-06
"racehisp97",-0.367545078914514,0.253912466076143,-1.44752671892956,0.147749458679662
"educa2",0.162351928307916,0.16714333510299,0.971333545593538,0.331382209179148
"educa3",0.102295381966059,0.173290969660168,0.590309940365995,0.554982876304569
"educa4",-0.335102074030735,0.196647417023304,-1.70407564514831,0.088366955978607
"educa5",-0.308087637681152,0.218787710478877,-1.4081578759923,0.159084326485552
"incom2",-0.0854803011607303,0.26136234487325,-0.327056681413632,0.743625014829679
"incom3",-0.106911022511091,0.2921907401531,-0.365894629155848,0.714443704203474
"incom4",-0.476102256214905,0.286061636094055,-1.66433452145385,0.0960455973032087
"incom5",-0.768800419573861,0.310633099146178,-2.47494688005568,0.0133255994014406
"incom6",-0.609978925578865,0.29816273124267,-2.04579198425176,0.0407768410189546
"incom7",-0.88128537507527,0.30243319284356,-2.91398363648243,0.00356848610984911
"walk_index",-0.0224614259763631,0.0130649347353837,-1.71921455646701,0.0855753112318425
