"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.32836318598425,0.0707599843731707,18.7728021388302,1.26057632300021e-78
"gender2",-0.299949359780258,0.0224483203363608,-13.3617729650095,1.01126435207711e-40
"racehisp1",0.021081982367608,0.0297233277931043,0.709273958634571,0.478154485390687
"racehisp2",0.0444385497712213,0.061761446210241,0.719519255102104,0.47182104262603
"racehisp4",-0.248005335262054,0.0416154950056606,-5.95944696148202,2.53092988168207e-09
"racehisp97",-0.00840288080951245,0.0512936010873838,-0.163819280209968,0.869873413314562
"own2",0.0329508995723621,0.0294054718633081,1.12057033893334,0.262470796447843
"incom2",0.0437346945977793,0.0657788152566703,0.664875073032641,0.506130400357167
"incom3",0.0831908823216707,0.0726781417013646,1.14464790065083,0.252355041274045
"incom4",0.0926375276183428,0.0709980790737219,1.30478921158066,0.191964633722652
"incom5",0.102448293079609,0.0740777354781821,1.3829835971401,0.166669895445933
"incom6",0.165068567176858,0.0720028162849275,2.29252931612638,0.0218751178760719
"incom7",0.16735097605086,0.0720856998644001,2.32155581988748,0.0202568651412893
"walk_index",-0.00604540043292319,0.00333335045824231,-1.81361081250093,0.0697376646147709
"regional_access",-0.00762159708096343,0.00636952107071295,-1.19657302273597,0.23147302064192
"school_distance",-0.00993897276773943,0.00504808463598951,-1.96886016864319,0.0489691506193429
"park_access",-0.00677934765068963,0.0066203172666108,-1.02402156538341,0.305825089063254
