"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.74195559336011,0.489971513210934,5.59615308120921,2.1916020830863e-08
"gender2",-0.236272816323143,0.0881546449743053,-2.68020835875421,0.0073576346815822
"age",-0.116820144447355,0.0259909300528882,-4.49465041111038,6.9684333333996e-06
"racehisp1",-0.054033181458533,0.124012865785696,-0.435706256090451,0.663049866112453
"racehisp2",-0.210664510162747,0.246591421740338,-0.854305914925854,0.392935510719398
"racehisp4",-0.497858103755496,0.153328071941491,-3.24701209277239,0.00116623434449816
"racehisp97",0.101342555851734,0.204701658774357,0.495074424206032,0.620547586593751
"emply2",-0.130937003346621,0.102163969184292,-1.28163582907029,0.199970425380514
"educa2",-0.0915764183264064,0.155292939613872,-0.589701106528772,0.555391053247333
"educa3",-0.389442719931286,0.158198216211532,-2.46173900855209,0.0138265239436985
"educa4",-0.397952222930176,0.172418420732437,-2.30806094406657,0.0209957470568811
"educa5",-0.225136839555613,0.184893173760406,-1.21765901345475,0.223353578516494
"own2",0.246722742077118,0.114872671375603,2.14779319678568,0.0317301877205564
"incom2",-0.348496111994052,0.265045765821894,-1.31485259126243,0.188559448515403
"incom3",-0.354915699954449,0.293362231394082,-1.20982069937176,0.226347701644023
"incom4",-0.713221356946763,0.288546497845663,-2.47177270308874,0.013444496704517
"incom5",-0.518826210819027,0.302889563530076,-1.71292204581855,0.0867268818773421
"incom6",-0.632214539373536,0.297467576208385,-2.12532252231299,0.0335597102200949
"incom7",-0.76090127916969,0.29840186372437,-2.54992133652531,0.0107747227505809
"walk_index",0.0621286608336968,0.0143010596132719,4.34433968627327,1.39695214697931e-05
"transit_access",0.0571471844793226,0.0199554986863443,2.86373121401516,0.00418683122865634
"rail_any",0.384309341723523,0.183617829718504,2.09298488231066,0.0363505040978819
"majrd_index",-0.0420652718846255,0.0256356696784382,-1.64088835642963,0.100820592443924
"school_distance",-0.0545695174395324,0.0190124398566925,-2.87020066077019,0.00410211389156706
