"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.236315302071008,0.12024568806914,1.96527048799562,0.0493829394225216
"gender2",0.060945320776807,0.0301028182808173,2.02457192573374,0.0429113394474131
"age",0.00690148673714873,0.00124229229296801,5.55544518485268,2.76905104076193e-08
"racehisp1",-0.160640315643964,0.041391012904727,-3.88104335628903,0.000104009295037015
"racehisp2",-0.30164751178935,0.0752828130444677,-4.00685760256028,6.15319345330879e-05
"racehisp4",-0.225528499967122,0.0658329942480143,-3.42576701156084,0.000613066020772717
"racehisp97",-0.262569160237304,0.10329530388233,-2.5419273710295,0.0110243078803782
"emply2",-0.473999034795359,0.0332812514116276,-14.2422239155874,5.01067275750211e-46
"educa2",0.0830224945298506,0.0577357642715273,1.43797342214787,0.150441595363891
"educa3",0.36462775259078,0.0591949648193613,6.15977648949491,7.2847687868619e-10
"educa4",0.56172616282367,0.06527946099017,8.60494486785448,7.63534512394488e-18
"educa5",0.480164636726691,0.0696793833766789,6.89105749014705,5.53791505994669e-12
"own2",-0.152347544116988,0.0385984640921712,-3.94698461972967,7.91416387737809e-05
"hhsize",-0.107468686446468,0.0139987027975001,-7.67704608070256,1.62798882073164e-14
"hhveh",0.378893840278565,0.0195779600265412,19.3530806971162,1.92014590792504e-83
"incom2",0.238561198824796,0.0698009989009757,3.41773330727307,0.000631449481259492
"incom3",0.379473978575439,0.0793881533802031,4.77998243337484,1.75310511793815e-06
"incom4",0.4006973759868,0.0785071890831607,5.10395774789938,3.32622569075583e-07
"incom5",0.435559891522057,0.0819351283530462,5.31591150556688,1.06124720373905e-07
"incom6",0.419898420194884,0.0825597458475112,5.08599458349159,3.65704489354512e-07
"incom7",0.418541504706365,0.0861447906972608,4.85858171247114,1.18229613777715e-06
"child_any1",0.593146161971505,0.0403985249628769,14.6823717577946,8.36138595304121e-49
"disabled1",-0.660241316290317,0.070102956708052,-9.41816646963882,4.59033492877282e-21
"disabled2",-0.709314528097295,0.0707775221704665,-10.0217485205108,1.22319503033372e-23
"walk_index",-0.025474431874639,0.00499224143498724,-5.10280446296245,3.3465673440446e-07
"transit_access",-0.00832742777055647,0.00648824081464448,-1.28346465682359,0.199329334232755
"rail_any",-0.345721114153602,0.0484328418889475,-7.13815462132724,9.45921950600877e-13
"majrd_index",0.0231374665285966,0.00839650371720255,2.75560725128878,0.00585832945350996
"regional_access",-0.0167503656406269,0.00934919811155569,-1.79163661318967,0.073191194229287
"school_distance",0.0295959778618839,0.00678624897278068,4.36116888440019,1.29369460114091e-05
"park_access",0.0179928483662949,0.00945516218383426,1.90296559873481,0.0570450342341678
