"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.0544848942087,0.0459234545497519,88.2878897931383,0
"gender2",-0.0271836065176913,0.0094149002059512,-2.88729629874445,0.00388849231360763
"age",0.00124236452356169,0.00040842698209369,3.04182773917886,0.00235352126112396
"racehisp1",-0.0546572489838565,0.0130653295754785,-4.18338080705131,2.8803234343034e-05
"racehisp2",0.116434648420741,0.0283177360858095,4.11172164568227,3.93778064162343e-05
"racehisp4",-0.0327781757752113,0.0204185114205889,-1.60531662176703,0.108434805390273
"racehisp97",-0.0794553335695549,0.0350537244381693,-2.2666730809077,0.0234173841101364
"emply2",-0.111218027753343,0.0113572172926388,-9.79271813575572,1.30954788940066e-22
"educa2",-0.0195233503901709,0.0227978066253879,-0.856369681126667,0.391800258456217
"educa3",0.0443420909445226,0.0225758641859511,1.96413703498963,0.0495235407053828
"educa4",0.069497949235031,0.0236636734962603,2.93690450242284,0.00331761312207859
"educa5",0.0796959858878683,0.0247698585698315,3.21745825327134,0.00129470898000905
"own2",0.0142620491578989,0.013300826575949,1.07226788323727,0.283608465421473
"hhsize",-0.0149762686021218,0.00471097625765841,-3.17901593704183,0.00147927961644214
"hhveh",0.024705848335206,0.00582474021255672,4.24153652070975,2.22668200647454e-05
"incom2",-0.0170879674214589,0.0323882487295227,-0.527597758191934,0.59778250185513
"incom3",-0.00311097562461658,0.0340789860506556,-0.091287212007786,0.92726499630627
"incom4",0.0138675128926299,0.0334128722106118,0.415035044135645,0.678119255732505
"incom5",0.0143800669386433,0.0338787108732608,0.424457323433547,0.671235406070867
"incom6",0.0507672418548024,0.0338978059209707,1.49765568819295,0.134233387939493
"incom7",0.0380582048678436,0.0345465290462876,1.10165061204415,0.270622549037434
"child_any1",0.0835303317547935,0.012272506452028,6.80629764435693,1.0205023926082e-11
"disabled1",-0.0839368908729057,0.0320458574415654,-2.61927430170848,0.00881619655193806
"disabled2",0.0245718362474298,0.0319195878805927,0.76980430760416,0.441422124142452
"walk_index_chts_adult_auto_min",-0.010982454829566,0.00159204820911224,-6.89831800739883,5.36790426586307e-12
"transit_access",-0.00329265204238681,0.00215729983702235,-1.52628391560607,0.126949851621026
"majrd_index",-0.00353517362012658,0.00272414576028145,-1.2977182321409,0.194394283806891
"regional_access",0.0193167091612333,0.0028941457334517,6.67440790488297,2.52609573583031e-11
"school_distance",0.0108256207635728,0.00223005590671472,4.85441675743498,1.21356116846729e-06
