"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.94174739466028,0.264213564829444,-11.133975640347,8.57248839864638e-29
"gender2",-0.89133387053814,0.0791019445636012,-11.2681663574208,1.88453627780403e-29
"age",-0.0121588873321338,0.00323567651844187,-3.75775738484171,0.000171442985398497
"racehisp1",0.824662876073491,0.118591334492979,6.95382069524068,3.55523433107453e-12
"racehisp2",-0.104804311709581,0.266347954827361,-0.3934864518765,0.693960228520931
"racehisp4",-0.136911105166683,0.198609020687353,-0.689349882965313,0.49060311378418
"racehisp97",0.46193548237355,0.284631341875798,1.62292556866461,0.104605316995568
"educa2",-0.0566043685150054,0.186902195991579,-0.302855556162409,0.761999942634467
"educa3",-0.0893993222479184,0.185347771065714,-0.482332869361684,0.629569501059113
"educa4",0.374265765330669,0.184131215968455,2.03260356133632,0.0420925914210944
"educa5",0.744763182182276,0.184298974317374,4.04105983194323,5.32101791841098e-05
"hhsize",0.137257622163659,0.0290624188419417,4.72285610190072,2.325553996281e-06
"hhveh",-0.530708905609287,0.0467735112788173,-11.3463558988703,7.73183693905905e-30
"disabled1",-0.307285594172053,0.235977551760447,-1.30218146548107,0.192854359584968
"disabled2",-0.924480383649895,0.341074356399036,-2.71049513487408,0.00671828341478836
"walk_index_chts_adult_bike_any",0.0451571183684645,0.0116694889491088,3.86967403331858,0.00010898096444359
"transit_access",0.0310848828029783,0.0141164803838328,2.2020278396433,0.0276633420049363
"rail_any",0.299405610829104,0.10695003173896,2.7994906215632,0.00511833033457172
"majrd_index",-0.0318206008737433,0.0203844781251227,-1.5610211200122,0.118518767765822
"school_distance",-0.0575467951717729,0.0147363662840191,-3.9050871878897,9.41914195550659e-05
"park_access",0.0982153633056277,0.024799006120583,3.96045562584501,7.48068935650612e-05
