"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.74548537398183,0.158965155180109,23.5616753227344,2.33575186760529e-93
"gender2",-0.123411240438829,0.0613738367586452,-2.01081188592051,0.0446850836834948
"age",-0.00249422836328401,0.00233069057262922,-1.07016709664308,0.284871368200035
"emply2",-0.0997291955620433,0.0698871892111248,-1.42700252632521,0.153974774658378
"educa2",0.210500433388123,0.138298038627895,1.5220782266804,0.128390141358344
"educa3",0.0551015859029059,0.131826443886723,0.417985832571301,0.676071206437121
"educa4",0.317510713559437,0.127115715641136,2.49780848857281,0.0126989419229216
"educa5",0.393505475008624,0.126059871859822,3.12157603528425,0.00186444121380572
"hhveh",-0.0326055893697905,0.0278339776948611,-1.17143118124329,0.241779137315729
"child_any1",-0.107396569219662,0.0584857639308031,-1.83628565315018,0.0666915093166654
"walk_index",-0.0218171459831296,0.00744848790628689,-2.92907047143284,0.00349773284648988
"regional_access",0.0791892105069521,0.0175415347172263,4.51438325001209,7.31829239273401e-06
