"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.37877859434748,0.123043563587104,-19.3328161587543,2.84459077001972e-83
"walk_any",0.725243660638942,0.038175509281608,18.9976158612335,1.78469324408717e-80
"gender2",-0.0353591422621805,0.0290277686953685,-1.21811437293912,0.22318051272232
"racehisp1",-0.0106047099802461,0.0411775527491538,-0.25753618834145,0.796764882888198
"racehisp2",-0.266051221696967,0.0918303614018679,-2.89720325212131,0.00376505741029176
"racehisp4",-0.122323646883099,0.0627118440456958,-1.95056689441258,0.0511085885675761
"racehisp97",-0.203754747527949,0.113804463157531,-1.7903932928,0.0733907078128578
"emply2",0.448162580140736,0.0337757834401635,13.2687545482014,3.51372012545869e-40
"educa2",0.0941611428290276,0.0788368457339111,1.19437988611111,0.232329401156493
"educa3",0.263744499949724,0.0773337642504676,3.41047021965092,0.000648509658880265
"educa4",0.635822799685169,0.0793945099593848,8.00839755809856,1.16212706216044e-15
"educa5",0.803286822100763,0.0816773266164567,9.83488142153411,7.96613962692899e-23
"own2",-0.0817445515061136,0.0417735809088865,-1.95684807784156,0.0503653325982251
"hhsize",-0.0992005873418908,0.0149864613226145,-6.6193469696677,3.6078911717012e-11
"hhveh",0.036517822343184,0.0179587450947459,2.03342840218095,0.0420092602903942
"incom2",0.0830711010263087,0.10208767044951,0.813723152468187,0.415803567607966
"incom3",0.228831649122197,0.108148475402502,2.11590268166556,0.0343530853200427
"incom4",0.406284027871561,0.104954167652055,3.87106140671303,0.000108362487756995
"incom5",0.399658403019158,0.106406736832874,3.75595018618864,0.000172685041892631
"incom6",0.448795014359868,0.106245195571334,4.22414408431807,2.39850570868456e-05
"incom7",0.528242635910574,0.107676338555812,4.905837651944,9.30294513194218e-07
"child_any1",0.170729994674966,0.0388139189222011,4.39867963390087,1.08911458833182e-05
"disabled1",-0.497081530642619,0.102083434038794,-4.86936529245007,1.1195727445827e-06
"disabled2",-0.746706011711908,0.110520197921098,-6.75628550941425,1.41574309013626e-11
"walk_index",-0.00906373053015741,0.00364319301682284,-2.48785350880523,0.0128516657690914
"park_access",0.060014423135807,0.00867974219574924,6.91430940946587,4.70148022544391e-12
