"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.8291822176806,0.110614700647528,43.6576891625709,0
"walk_any",-0.486545686523732,0.0289102228032576,-16.8295377671357,3.59989871051608e-62
"gender2",-0.0990243579303575,0.0235993396136581,-4.19606478619627,2.75419748708498e-05
"age",-0.00564457601706065,0.00105642631065988,-5.34308541930846,9.46653749949786e-08
"racehisp1",-0.0959610501139847,0.033590822548285,-2.85676392639822,0.00429421003236248
"racehisp2",-0.0136407769219121,0.0771955840683156,-0.17670410926408,0.859746637187242
"racehisp4",-0.103050807759879,0.0500808825133598,-2.05768753640451,0.0396622367807969
"racehisp97",-0.0558386200571663,0.0948517200367715,-0.588693805821541,0.556088334852109
"emply2",0.0532131291134869,0.0268664932827653,1.9806503421726,0.0476750269976108
"own2",0.0362086094710822,0.0345828161067919,1.0470115955644,0.295135416972993
"hhsize",0.0416825889436369,0.0128147590565599,3.25270172928452,0.00114930927617666
"hhveh",-0.0205079425210608,0.0148913225352867,-1.37717402013587,0.168508622344002
"incom2",-0.223578060951175,0.0867351338431219,-2.57771045071034,0.00996881686849077
"incom3",-0.245634275208592,0.0909897787508929,-2.69958097030961,0.00696169299442474
"incom4",-0.20784971904336,0.0876902908137695,-2.37027060937427,0.0178057686092346
"incom5",-0.164315233023016,0.088465823853595,-1.85738656879459,0.0633039905095192
"incom6",-0.134392616423193,0.0879436054075404,-1.52816814594311,0.126522273017605
"incom7",-0.100853387533037,0.0882894032664737,-1.14230455526631,0.253371961733205
"child_any1",-0.0419828647535923,0.0323048683371515,-1.29958321809072,0.193792612783398
"disabled1",-0.314165559959859,0.0865730473768314,-3.62890725784865,0.000286936030598005
"disabled2",0.0632063949842254,0.0952356956026194,0.663683869627628,0.506917567471655
"rail_any",0.0488670414169541,0.0390876220561058,1.25019223085024,0.211276948243539
