"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0241075262941713,0.132368891392757,-0.182123805982788,0.855485566682136
"gender2",0.0732240926884368,0.0327246755033871,2.23758040567454,0.0252484305191179
"age",-0.0109727932092182,0.00141730264297059,-7.7420255043198,9.78453553720414e-15
"racehisp1",0.106355093999442,0.0464426318979864,2.29003158634628,0.0220194856759892
"racehisp2",0.0763338526943333,0.0829392744643934,0.92035833671422,0.357385533146516
"racehisp4",-0.00310878757359784,0.0696779585143436,-0.0446165134553688,0.964412979932992
"racehisp97",-0.0477885756808436,0.122029826084884,-0.391613896487911,0.695343518521417
"emply2",0.235923860354796,0.0380474419160634,6.20078114253432,5.61835981068117e-10
"educa2",-0.227705228939284,0.0674379586934459,-3.37651425622724,0.000734105675851494
"educa3",-0.206020315106032,0.0682472851238111,-3.01873275592251,0.00253834334023599
"educa4",0.0420765756599227,0.0729795140462643,0.576553245247,0.56424129121274
"educa5",0.290529477035524,0.0760748035476895,3.81899740106982,0.000133995174312096
"own2",0.221023803969673,0.0417088985425898,5.29920021129258,1.16311039277463e-07
"hhsize",0.132526338727741,0.0156232024548208,8.4826615484873,2.20100196015385e-17
"hhveh",-0.67449514681924,0.0232774993750816,-28.9762717184855,1.31001638502986e-184
"incom2",-0.368531400797288,0.0748414177226158,-4.92416381211768,8.47218443341967e-07
"incom3",-0.530951542205235,0.0878533200705573,-6.04361385294049,1.50699943894598e-09
"incom4",-0.567227655707061,0.0867745497861454,-6.53679744930956,6.28500735252815e-11
"incom5",-0.4718452184084,0.0895970688736495,-5.26630194871441,1.39199264917791e-07
"incom6",-0.37863598821147,0.0896758835271711,-4.22227217975217,2.41851805710561e-05
"incom7",-0.0713241450749575,0.0915547458822971,-0.779032745791812,0.435960425463732
"child_any1",-0.273044270663274,0.043214403748833,-6.31836255916519,2.6434924830595e-10
"disabled1",-0.154499532133043,0.0899578263107761,-1.71746626690707,0.0858940128202589
"disabled2",-0.248619171200101,0.0941106850464418,-2.64177410968172,0.00824730408314553
"walk_index",0.0712279020030038,0.00572420235142784,12.4432886243507,1.52109767439765e-35
"transit_access",0.028867048921694,0.00661674410410419,4.3627271158618,1.28451124934052e-05
"rail_any",0.305014034251562,0.0480491658510279,6.34795690724851,2.18193177307654e-10
"regional_access",0.045015342150634,0.0104366304512627,4.31320648564191,1.60903710513051e-05
"school_distance",-0.0618314907910196,0.00702044539993092,-8.80734586891424,1.28143830029116e-18
"park_access",0.0851307876662822,0.0109766236986747,7.7556441765022,8.78961547320035e-15
