"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.14477424380405,0.0960366908751974,32.7455498012814,6.85543152560477e-214
"age",0.00160896531986814,0.00109339847993494,1.47152694044707,0.141209519242555
"emply2",0.156441128554268,0.0303493516045651,5.15467778661657,2.63523230875334e-07
"educa2",-0.0246370449221568,0.0505072029712346,-0.487792700304317,0.625717362865151
"educa3",-0.120974931587688,0.05046137989159,-2.39737660459519,0.0165482034741152
"educa4",-0.0216294500990432,0.0548043576928565,-0.394666610641848,0.693105224187764
"educa5",0.0146414165749191,0.0570195944300873,0.256778686717443,0.797359839739503
"own2",0.0474881788089501,0.0337859592555408,1.40555958319171,0.15991502240975
"hhsize",0.054142945727403,0.0124692755330916,4.34210837539964,1.43818788191606e-05
"hhveh",-0.117494316829925,0.0169544210460172,-6.93001055659907,4.7228447440354e-12
"incom2",-0.0520343141293838,0.0535333669317648,-0.971997785898808,0.331097113702196
"incom3",-0.158883668215503,0.0662808757323533,-2.39712687045787,0.0165594739821428
"incom4",-0.271768126844303,0.0659788931767883,-4.11901615439515,3.86433882079074e-05
"incom5",-0.185734875412976,0.0683070931564941,-2.71911549489379,0.00656752789713938
"incom6",-0.16620206401711,0.0683246182010164,-2.43253556907015,0.0150272134228231
"incom7",-0.170859133902907,0.0696254398371685,-2.45397564887908,0.0141614009877945
"child_any1",-0.0944246729321726,0.0345653037547318,-2.7317761649714,0.00632077718495002
"disabled1",-0.0633008722086804,0.0690359339772238,-0.916926426019883,0.359223956336366
"disabled2",-0.162320363548023,0.0731494461294861,-2.21902382228145,0.0265283487887306
"walk_index_chts_adult_walk_min",0.0396770373964066,0.00689346800681739,5.7557440401794,9.12284525095058e-09
"rail_any",0.0786822289961382,0.035437726918069,2.22029559565288,0.0264418975815854
"regional_access",0.015128082571426,0.00797896508944796,1.8959955836168,0.0580163252713902
"park_access",0.0190347960750215,0.00873587450345279,2.17892279330456,0.0293824001979616
