"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.80693128176717,0.261698306040432,3.08344098200811,0.00204621692260197
"gender2",0.198556027845247,0.0548099521162507,3.6226272817045,0.0002916258823682
"age",0.00659560933895761,0.00232810901563157,2.83303285828664,0.0046108646135558
"emply2",-0.397854018138092,0.0666458112555036,-5.9696777733385,2.37722612488314e-09
"educa2",-0.134057117828753,0.21686780614007,-0.618151307078601,0.536475604152107
"educa3",0.12817570726327,0.211879549745337,0.604946099882348,0.545214810922019
"educa4",0.305837135258957,0.21211841055359,1.44182268036413,0.149352402892643
"educa5",0.27685630452913,0.214204860957859,1.29248376199827,0.196189665726721
"own2",-0.234677651518424,0.0915524251964095,-2.56331441810487,0.0103678110980888
"hhsize",-0.0940741173709163,0.0308450127082134,-3.04989718308225,0.00228919720088577
"hhveh",0.242300129726867,0.0347156472119534,6.97956538869993,2.96094596714516e-12
"child_any1",0.596757011824002,0.0753158697540647,7.92339003416735,2.3112116041581e-15
"disabled1",-0.980239912861759,0.177249946063733,-5.53026917429526,3.19739775441792e-08
"disabled2",-0.993286459068293,0.174569684863684,-5.68991380057721,1.2710351794823e-08
"walk_index",-0.0121011539230824,0.00772369619161384,-1.56675685097783,0.117171536665919
"rail_any",-0.342149151171815,0.0911044691261559,-3.75556934202676,0.000172947866934352
"majrd_index",0.0212158051646627,0.0162325524662279,1.30699131937523,0.191215659650536
"regional_access",-0.0295403992762609,0.0175510437032448,-1.68311353875779,0.0923531140629646
"school_distance",0.0591838409548831,0.0121030297685336,4.89000209755361,1.00834903176597e-06
