"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.18151815647491,0.0509900697661428,82.0065196155393,0
"gender2",-0.0217846960902404,0.0141808466858776,-1.53620559990507,0.124513944325359
"age",0.00124468828657826,0.000624213890460685,1.99400927406413,0.0461733036729906
"racehisp1",-0.0392629760365142,0.0227668286892301,-1.72456939754141,0.084630479238543
"racehisp2",0.136867933414055,0.051649120974034,2.64995668528152,0.00806061142477685
"racehisp4",-0.0227451083812293,0.0305675569621143,-0.744093105295257,0.45683450809093
"racehisp97",0.017045952204585,0.0577485020725086,0.295175659849709,0.767864727093157
"emply2",-0.125597666861256,0.0186742356636456,-6.72571928101806,1.82539852683669e-11
"hhsize",-0.0196737086895432,0.00817637772439983,-2.40616436185833,0.0161358138943639
"hhveh",0.0102569355827362,0.00858308920653384,1.19501677495419,0.23210374976086
"child_any1",0.10468291128608,0.0188032534260892,5.56727651933012,2.6422812449991e-08
"walk_index_chts_adult_auto_min",-0.0130821261134845,0.00238335530763243,-5.48895335562869,4.12418016491843e-08
"transit_access",-0.00328149687345777,0.00328095221234088,-1.00016600702529,0.317250050869152
"majrd_index",-0.00490888385548969,0.00428456994387364,-1.14571215309689,0.251936788870374
"regional_access",0.0160853991661114,0.00444689834187367,3.61721764912978,0.000298991405636662
"school_distance",0.0114220551789572,0.00350637666296925,3.25750946827395,0.00112702281508879
"park_access",0.00730169551425392,0.00422384167723246,1.72868589123779,0.0838906753886555
