"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.84506938981496,0.633379290607842,-4.49188887607077,7.05942573068498e-06
"gender2",-0.741618412439749,0.116563726181137,-6.36234304390112,1.98699044886101e-10
"age",-0.0064825545978765,0.00541734073596274,-1.19663039742773,0.23145064698767
"racehisp1",0.467323446952114,0.215376763526352,2.16979510370874,0.0300223714642706
"racehisp2",-0.107888700770583,0.498650269611912,-0.216361460818121,0.828706004584903
"racehisp4",-0.397176986367531,0.300077467374394,-1.32358150661139,0.185642070407588
"racehisp97",0.0195607852244061,0.550573023037375,0.035528048789049,0.971658680789581
"educa2",-0.0715948289299567,0.570664830808762,-0.125458631870639,0.900160473202359
"educa3",-0.298677334410472,0.55309471433916,-0.540011189163746,0.589189316004547
"educa4",0.203865113541881,0.537413049693704,0.379345298105569,0.704431465871812
"educa5",0.480858625156996,0.537832244948511,0.894068047561988,0.371285483936779
"hhsize",0.234816124928686,0.0467022774758691,5.02793734309884,4.95783805465208e-07
"hhveh",-0.625879623604039,0.0760996169669664,-8.22447797438616,1.96042814687817e-16
"incom7",0.151203315561159,0.110763880368527,1.36509586932206,0.17222292015798
"walk_index_chts_adult_bike_any",0.0581831708381687,0.0158629343953458,3.66786934800912,0.000244580098537811
"rail_any",0.524905512427786,0.147752664297756,3.55259592050388,0.000381449919729384
"school_distance",-0.0738196899403046,0.0221264976943437,-3.33625732187952,0.00084914527791507
"park_access",0.110735735768083,0.0385203329625929,2.8747346466506,0.00404367180069787
