"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.46620142430484,0.230486545008218,-6.36133195650345,2.00011650735308e-10
"walk_any",0.613706196131495,0.0582181210103678,10.5414978271491,5.56061205230829e-26
"racehisp1",0.0793859999793437,0.0725161999286463,1.09473469455731,0.273632884171411
"racehisp2",0.231058403870266,0.153937832869729,1.50098516760204,0.13335939796378
"racehisp4",-0.143758365921874,0.0971760341837102,-1.47936028805313,0.139044047813418
"racehisp97",-0.11152655010461,0.1868314754004,-0.596936623583346,0.550549694475366
"emply2",0.415405632289733,0.0540144627881355,7.69063711545381,1.4640413402979e-14
"educa2",-0.268301814351325,0.213601242982118,-1.256087327047,0.209084310339084
"educa3",-0.0666853178675631,0.204127249435996,-0.32668503618118,0.743906119217169
"educa4",0.265059197587732,0.202007804745216,1.31212354850368,0.189478451717264
"educa5",0.426762892348338,0.202681523624281,2.10558360089815,0.0352405383849593
"own2",-0.136543697061468,0.0819989532202112,-1.66518829447463,0.0958751955670173
"hhsize",-0.0536168558577567,0.0249362402088552,-2.1501579792577,0.0315427207317646
"hhveh",-0.0552674229184258,0.0270981688536026,-2.03952611030683,0.0413975480490208
"incom7",0.0959169499747458,0.0433185789833785,2.21422198571078,0.0268135121740086
"child_any1",0.0679532302380332,0.0584191653565742,1.16320097733793,0.244747970108642
"disabled1",-0.346481417165867,0.214849793333126,-1.61266814266209,0.106816625304883
"disabled2",-0.748178017763019,0.236039596058782,-3.16971402364499,0.00152589036040474
"walk_index",-0.00688585338266413,0.00548363159112194,-1.25571042989329,0.209220976340415
"majrd_index",-0.0324573865426693,0.0129960501103082,-2.49748087050886,0.0125079213468866
"school_distance",-0.0123142361731304,0.00997254366728984,-1.23481396361506,0.216899749302577
"park_access",0.0606808751740149,0.0130799124674768,4.63924168643313,3.49689914843489e-06
