"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.374743438067594,0.286746401570248,-1.3068810489529,0.191253113267509
"gender2",-0.0654152630301564,0.054102573888762,-1.20909706005215,0.226625558578632
"age",-0.0123337814067955,0.00249801085625951,-4.93744107472133,7.91543117727959e-07
"racehisp1",0.177302208630616,0.0942080117808712,1.88202898329946,0.0598320805258964
"racehisp2",-0.0864480541737617,0.205389263416902,-0.420898603634837,0.673829124915731
"racehisp4",0.0101132379255531,0.119581593261355,0.0845718613520213,0.932601770288393
"racehisp97",0.00361429939969898,0.235456720351678,0.0153501645410701,0.987752821670892
"emply2",0.086406193489997,0.073324166934001,1.17841357226426,0.238631769527907
"educa2",-0.591316918530103,0.249422989147751,-2.37073944366782,0.0177525409343403
"educa3",-0.537770398363101,0.237179213688302,-2.2673588886665,0.0233683107567481
"educa4",-0.16491709603252,0.233791482768587,-0.705402498326934,0.480559789698604
"educa5",0.0778303050914693,0.235352652921898,0.330696527637176,0.740873725417305
"hhsize",0.148687778638067,0.031483664014571,4.72269614391936,2.32738445748599e-06
"hhveh",-0.487964209270464,0.037716667229137,-12.9376279803826,2.76020705558207e-38
"incom7",0.263217854287364,0.0545416147834688,4.82600039130384,1.39302234169568e-06
"child_any1",-0.286252273383874,0.0741702734637016,-3.85939352810886,0.000113668767408529
"disabled1",-0.513291238355151,0.289392108914957,-1.77368774939883,0.0761148139217509
"disabled2",-0.309782081250284,0.275561848458917,-1.12418349268139,0.260935190859317
"walk_index",0.0773205431299555,0.00883522449214845,8.75139541713598,2.10730584484439e-18
"transit_access",0.0220375155053686,0.0106762033958919,2.06417156812958,0.0390014522267692
"rail_any",0.503934234232052,0.0800755891071983,6.2932316808488,3.10923736997469e-10
"regional_access",0.0252932983796435,0.0187518003212413,1.34884640121686,0.177386307104132
"school_distance",-0.0881704048857927,0.0115207575750562,-7.65317769351315,1.96072676261489e-14
"park_access",0.128048466339921,0.0184754392677722,6.93074002106589,4.18644801856645e-12
