"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",2.75619347719256,0.219371748200264,12.5640311471486,8.98640807146796e-35
"age",0.00467820160324307,0.0020360962897562,2.29763279211281,0.0216962980278617
"emply2",0.191160352845718,0.0601140867314993,3.17995936126484,0.00149788531274134
"educa2",0.231017213613804,0.199143342446101,1.16005491710741,0.246179440955047
"educa3",-0.0562270377160057,0.187596514763428,-0.299723253317961,0.764422674623497
"educa4",0.145205026092584,0.18290019157141,0.793903083671134,0.427355922443604
"educa5",0.155232639227999,0.183870135818204,0.844251506843289,0.398640446821718
"own2",0.0970054338932094,0.068613981565051,1.41378523269694,0.157596936763932
"hhsize",0.0453553887572146,0.025997617642085,1.74459788514596,0.0812246185883887
"hhveh",-0.105922620891877,0.0286156580854988,-3.70156159174805,0.000220688584429428
"child_any1",-0.132161798144062,0.0600076657583017,-2.20241524935134,0.0277616674802441
"walk_index_chts_adult_walk_min",0.0392208707810698,0.0104276265775818,3.76124619435359,0.00017444550309581
"rail_any",0.141727166451947,0.0611264298367704,2.31859061342875,0.0205281561388162
"majrd_index",-0.0150351453549293,0.0121817244166819,-1.23423785013063,0.217274509287911
"school_distance",-0.0153059561644062,0.00933656401094461,-1.63935642131989,0.101312832327211
"park_access",0.0251058582879014,0.0153645962890297,1.63400702599827,0.102431281676921
