"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.340051198063489,0.169849173145098,2.00207744180768,0.0452764032549025
"gender2",-0.0522114658475883,0.0485796779850457,-1.07475940584992,0.28248245928392
"age",0.00282022350690949,0.00200967583855014,1.40332259203758,0.16052066424523
"racehisp1",-0.210059509476726,0.0640564665279948,-3.27928655547872,0.00104069902519511
"racehisp2",-0.353428342400738,0.102290034073417,-3.45515910325214,0.000549968178185989
"racehisp4",-0.206871903809031,0.122000817066305,-1.69565998641305,0.0899502904266836
"racehisp97",-0.415994205456878,0.156301325792516,-2.66148865563107,0.00777959623998041
"emply2",-0.550172431518187,0.0508247423315902,-10.8248936694801,2.62383521370095e-27
"educa2",0.0490013266399137,0.069936757342486,0.70065196760482,0.483520238471827
"educa3",0.391285035314407,0.0758467430460697,5.15889040979305,2.48417655964445e-07
"educa4",0.673962285411763,0.09998744662908,6.74046901019423,1.57876175704142e-11
"educa5",0.409501273833965,0.124261239419796,3.29548679657486,0.000982513203587443
"own2",-0.0749133256129388,0.0554947192205937,-1.34991809428128,0.177042256950738
"hhsize",-0.119247848614917,0.0201455172094927,-5.91932425337414,3.23267070119003e-09
"hhveh",0.641381660849091,0.033324611604902,19.2464857041198,1.51069559821895e-82
"incom2",0.143182292839726,0.0723152652928275,1.97997327756367,0.0477065314633202
"incom3",0.192551453198418,0.0843369821661203,2.28312002935018,0.0224232990466833
"child_any1",0.593205689258104,0.0647958715729841,9.15499205207749,5.4361811101251e-20
"disabled1",-0.502909943157722,0.0918468887432955,-5.47552508352585,4.36216162854124e-08
"disabled2",-0.563374684463488,0.0948098528136241,-5.94215334951487,2.81302073500361e-09
"walk_index",-0.0343733665408191,0.00807194839090802,-4.25837293255444,2.05920214249339e-05
"rail_any",-0.351573146706218,0.0737465882957409,-4.7673140525,1.8669817075449e-06
"majrd_index",0.0257031568319355,0.0128094249449266,2.00658163363653,0.044794228548512
"regional_access",-0.0441273818314711,0.0142681690908656,-3.09271508842162,0.00198334448951833
"school_distance",0.0143131142254518,0.0108002829283018,1.32525363645286,0.185087040927101
"park_access",0.029039415984907,0.0158359956289543,1.83376004043672,0.0666896217683018
