"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.10619746972835,0.0447125573910199,91.835441972573,0
"gender2",-0.0309513968020208,0.0191666907984874,-1.61485345213914,0.106382865604991
"racehisp1",-0.0608915545292588,0.0245876634459153,-2.47650837840692,0.0132884927719115
"racehisp2",0.0731027290082007,0.0482713597468586,1.51441205285207,0.129961867222163
"racehisp4",-0.0825886039510774,0.0459342810815118,-1.79797314786578,0.0722199043848984
"racehisp97",-0.0471166005371948,0.0695944879881789,-0.677016268087177,0.498415702357519
"emply2",-0.0956545579291743,0.019867491715536,-4.81462679329441,1.50250158095675e-06
"educa2",-0.0365827181171721,0.0294574211544162,-1.24188461459016,0.214316463000975
"educa3",0.054211810787723,0.0306971618115815,1.76602029596332,0.0774315410776353
"educa4",0.0815585085539025,0.0374784144599004,2.17614618252234,0.0295742277638883
"educa5",0.116958157306008,0.0479972915882327,2.43676577231459,0.0148414768093929
"hhsize",-0.0209956041620153,0.00793392384334452,-2.64630775094063,0.00815390609676539
"hhveh",0.048674822933661,0.011568061252038,4.20769062967103,2.6088358068036e-05
"child_any1",0.0677127810669999,0.0241700503063125,2.80151593434273,0.00509884024853409
"walk_index_chts_adult_auto_min",-0.00744304941621541,0.00293806409310703,-2.53331757931268,0.0113182684166047
"regional_access",0.0181806491303991,0.00552202369615809,3.29238882894475,0.000997819504549927
"school_distance",0.00637798177920979,0.00434172428496947,1.46899742143683,0.141873801112969
