"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.86968552112787,0.331694584549626,-5.63676830499516,1.73270986097904e-08
"gender2",-1.06887502359794,0.158943487500172,-6.72487461052333,1.75743716526552e-11
"age",-0.0182286746831214,0.00560931134845016,-3.2497170420319,0.00115519888354154
"racehisp1",0.775852057434984,0.189121779339014,4.10239402435093,4.08897157417784e-05
"racehisp2",-0.0217449131456506,0.36968095486948,-0.0588207557333536,0.953094876397261
"racehisp4",-0.152641835049905,0.418642256089866,-0.364611629211979,0.715401332769444
"racehisp97",0.606841475412326,0.419697427412846,1.44590229955208,0.148204606868943
"emply2",-0.330307803796172,0.15973687299632,-2.06782440146917,0.0386565382543214
"educa2",-0.243680191422681,0.231612273437834,-1.05210396584655,0.292751852825975
"educa3",-0.23777256854304,0.239758308184085,-0.991717744189615,0.321335232717087
"educa4",0.144099364362372,0.269029919980987,0.535625793490015,0.592217198619284
"educa5",0.525563908982333,0.300542986352897,1.74871460272647,0.080340364579279
"hhveh",-0.659424129188394,0.091835766202744,-7.18047179714923,6.94712601079055e-13
"child_any1",-0.23399220658229,0.176119435882361,-1.32859956886635,0.183980114377182
"disabled1",-0.470673861711521,0.327821600215316,-1.43576219932542,0.151070019469721
"disabled2",-1.23811561722752,0.518231378821854,-2.38911742481177,0.0168889034035605
"walk_index_chts_adult_bike_any",0.0409917447529046,0.0184617095891904,2.22036559262669,0.0263939606977402
"majrd_index",-0.0782933442051501,0.0386665813182183,-2.02483233676159,0.0428845833990429
"park_access",0.066578179708753,0.0463452954625881,1.43656824374974,0.15084071234469
