"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.70772033258966,0.319831611110863,11.5927263090466,4.44680291428507e-24
"age",-0.00524234192067058,0.00448528621466838,-1.16878648758832,0.243887852376496
"educa2",0.352730465846565,0.175549928439635,2.00928857665616,0.0458575259707541
"educa3",0.195147492411923,0.177540854067594,1.09916950347454,0.273022136125088
"educa4",0.508495575756217,0.190820210480745,2.66478888412885,0.00833576152078627
"educa5",0.500160978060538,0.209226833611373,2.39052022834489,0.0177569684468206
"hhsize",0.0639558771412111,0.0393502309172886,1.62529864883491,0.105681604148995
"hhveh",-0.102736373726749,0.0637002813323724,-1.61280879107418,0.108370757469911
"regional_access",0.0587559816826169,0.0268070756910118,2.19180869856377,0.0295536945406621
"school_distance",-0.048660538539218,0.02270364674944,-2.14329173970336,0.0333035435354744
