"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.68881390105348,0.153882348225355,-17.4731795560841,2.29349538074503e-68
"walk_any",0.839736019378511,0.0730752758901576,11.4913834966665,1.45758668497069e-30
"gender2",-0.107488866756972,0.0614713685709743,-1.74860051526048,0.0803600971857616
"racehisp1",-0.0600885826899589,0.0774105317045523,-0.776232656808185,0.437611627295561
"racehisp2",-0.688473751218208,0.172044633821859,-4.00171592640941,6.28847708536325e-05
"racehisp4",0.126533382156113,0.133919890558312,0.944843828863626,0.34473861212074
"racehisp97",-0.301915741560451,0.230023232259299,-1.31254455732589,0.189336462359669
"emply2",0.514047203685001,0.0639705776436317,8.03568175589508,9.30599982358884e-16
"educa2",0.233792013042526,0.100156062494185,2.33427719920699,0.0195812118402541
"educa3",0.368231422643318,0.103333767925553,3.56351490936255,0.000365921901030742
"educa4",0.755507734691509,0.12010546217694,6.29036948859569,3.16711224209096e-10
"educa5",0.985162796689055,0.140882499695413,6.99279753566958,2.69458243461352e-12
"hhsize",-0.112827263454527,0.0270009623838671,-4.17863859259847,2.93259268431097e-05
"hhveh",0.173009990887423,0.0366501847047134,4.72057623396296,2.35177444393501e-06
"incom2",0.037002713185041,0.103902510740945,0.356129153387814,0.721743845354997
"incom3",0.150509996227335,0.112664370567243,1.33591476586206,0.181577134074794
"child_any1",0.266597002099695,0.0807347919297922,3.30213276986618,0.000959526400526478
"disabled1",-0.500992559922763,0.14738496472804,-3.39921077327809,0.000675806143656131
"disabled2",-0.737710458955833,0.162867130381359,-4.52952328212856,5.91169200331277e-06
"majrd_index",0.0159355530984749,0.0155169415544598,1.02697770965663,0.304430960238671
"park_access",0.0524533594345978,0.0184863504592243,2.83741020437187,0.00454811379616999
