"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.62079671753023,0.168094613792674,27.4892610374146,6.14818746356351e-131
"walk_any",-0.514812045367268,0.061490005135519,-8.37228821550209,1.47435370618036e-16
"gender2",-0.0855398286574416,0.0551005620711281,-1.55243114484059,0.120808047892722
"age",-0.00610910101140106,0.00231784390239776,-2.63568267262576,0.00849902458748565
"racehisp1",-0.124128187918685,0.0678534798236561,-1.8293562576493,0.067580425658654
"racehisp2",0.212412549800864,0.160422805369562,1.32407951170991,0.185714704499107
"racehisp4",-0.174492984651662,0.113949512015769,-1.53131840202628,0.125939565060706
"racehisp97",-0.0992771692936914,0.209777497165165,-0.47324985108163,0.636116201790871
"emply2",0.127001841950395,0.0565162873245171,2.24717241635406,0.0248000061623604
"hhsize",0.0545633480620958,0.0220608734822089,2.47330859796185,0.013516794435986
"incom2",-0.18004692197418,0.092649944489333,-1.94330307445472,0.0522000742989382
"incom3",-0.169593002619561,0.0980983745395805,-1.72880543042162,0.084086761093842
"child_any1",0.123352821484813,0.0714856355952155,1.72556095301849,0.0846694870606403
"disabled1",-0.417374455371795,0.133809391819166,-3.11917160445545,0.00185437643060633
"disabled2",0.0884226048784053,0.150393369081759,0.587942177359799,0.556675550434668
"walk_index",0.0225281302085894,0.00706129427893286,3.19036841104347,0.00145564992921709
"rail_any",0.215309589652296,0.0870586786184204,2.4731548085631,0.013522584214658
"park_access",-0.0174836745629887,0.017190888141357,-1.0170314889623,0.309332003781173
