"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.168960302882476,0.190066751736122,0.888952440861682,0.374028640177649
"gender2",0.28112671819058,0.0553894730654213,5.07545391989083,3.86572035066582e-07
"age",-0.0133538781283536,0.00228181781181,-5.85229813670398,4.84826520395617e-09
"emply2",0.326428778689267,0.058005444918952,5.62755408816136,1.8278285808598e-08
"educa2",-0.199608156308485,0.0778815372995138,-2.56297144650393,0.0103780583081213
"educa3",-0.10185946051022,0.0806054137840219,-1.26368013919198,0.206344856485537
"educa4",-0.0757636389348406,0.102888914428531,-0.736363478569575,0.461509524345051
"educa5",0.212409465518943,0.128588818535474,1.65185019924843,0.0985650923494326
"own2",0.229486660194147,0.0633402110348465,3.62308013258584,0.000291115585613079
"hhsize",0.124562062497473,0.0222307073363567,5.60315335957667,2.10486832339767e-08
"hhveh",-0.974603188431873,0.0407032751967783,-23.944097464398,1.06456913073743e-126
"incom2",-0.234063423303358,0.0777173085453032,-3.01172837408436,0.00259764923562113
"incom3",-0.247637039665031,0.0933949132787805,-2.65150457312213,0.00801340278150683
"child_any1",-0.356002724027106,0.0719567901714075,-4.94745142437671,7.51914597005916e-07
"disabled1",-0.212518232448947,0.110298121145677,-1.92676203584885,0.0540092927272948
"disabled2",-0.36335080920135,0.118060701587996,-3.07766093470592,0.00208632150120097
"walk_index",0.0604596592998387,0.0104423358491017,5.78985968020168,7.0445250345001e-09
"transit_access",0.0341201308975457,0.0115850480700056,2.94518682109613,0.00322759712951786
"rail_any",0.093471502780515,0.0792733593645664,1.17910359204854,0.238356928451228
"regional_access",0.0774414910718861,0.0167299622454688,4.62891009170452,3.67595311373981e-06
"school_distance",-0.0447515035250886,0.0118490892548575,-3.77678845711646,0.000158863549680399
"park_access",0.035948953028307,0.0186663322291489,1.92587127385261,0.0541204491120617
