"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.14175238931903,0.101607948723096,30.9203406702069,5.91560388329355e-173
"age",0.00188764727865113,0.00153536598833581,1.22944450573454,0.219044715724166
"emply2",0.199473924567178,0.0405888317243564,4.91450273616716,9.59892530454657e-07
"hhsize",0.0428450020910161,0.01277077413366,3.35492599294268,0.000808169489561097
"hhveh",-0.153935563187954,0.0252630860743914,-6.09330003209684,1.3150471376664e-09
"incom2",-0.0358837665259124,0.0512798389893194,-0.699763634854358,0.484153443425511
"incom3",-0.128914394703397,0.0642604038835558,-2.00612487492296,0.0449726205718491
"disabled1",-0.0743760444963343,0.0762492654293956,-0.975432931418915,0.329459364840249
"disabled2",-0.12981874862218,0.0821916503397302,-1.57946394902145,0.114382243063517
"walk_index_chts_adult_walk_min",0.0353083076132554,0.0105333321914323,3.35205488363643,0.000816551503640023
"majrd_index",0.0130203439806741,0.00952341739826762,1.36719240963255,0.171713230506404
"regional_access",0.0124550364348343,0.0112053237762435,1.1115284737457,0.266469835623932
