"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.586629460154552,0.221270990975796,2.65118105887961,0.00802108295739472
"gender2",0.0801097257087902,0.0550005702177473,1.45652536676685,0.145247442451298
"age",0.0128806588065432,0.00221161854425934,5.82408699727054,5.74256584931301e-09
"racehisp1",-0.158443391744393,0.0731640394303253,-2.16559108789065,0.0303424480146332
"racehisp2",-0.156004236604137,0.151309544678793,-1.03102707060093,0.302528125379673
"racehisp4",-0.296068196879143,0.118718708413476,-2.49386302155503,0.012636129762173
"racehisp97",-0.166583862775266,0.187390783063782,-0.888965081695433,0.374021846331967
"emply2",-0.430566515887488,0.0611751267947786,-7.03826111111939,1.946536693386e-12
"educa2",0.224913683215815,0.143108183029205,1.571633979658,0.116035461332795
"educa3",0.450374334560093,0.141028855857103,3.19349066418317,0.00140563882612629
"educa4",0.555337580609231,0.146260597811974,3.79690490068382,0.000146513963824293
"educa5",0.408026992828045,0.153534095883278,2.65756599848831,0.00787071778592469
"own2",-0.0878492612538531,0.0712854647121719,-1.23235868081327,0.217815128496517
"hhsize",-0.106246984625617,0.0262194978899148,-4.05221278728164,5.07354884886516e-05
"hhveh",0.241390915062905,0.0351626708767813,6.86497666541882,6.65021226675706e-12
"incom5",0.0800042297608247,0.0557179907948307,1.43587786672751,0.151037097575519
"child_any1",0.552415188013361,0.0751144299446881,7.35431512187661,1.91908515074639e-13
"disabled1",-0.638030578314303,0.145432202356139,-4.38713412832649,1.14853967888535e-05
"disabled2",-0.675457694974815,0.142675084837468,-4.73423720577619,2.19880456250677e-06
"walk_index",-0.0368683121292184,0.00834227670719554,-4.41945447546927,9.89503622517488e-06
"rail_any",-0.392548987422082,0.0902157603120167,-4.3512240662211,1.35379617040552e-05
"majrd_index",0.0228349443566093,0.0156258598725452,1.46135601770822,0.143917764192991
"regional_access",0.0356700317468221,0.0168413146906937,2.11800755475063,0.034174427875274
"school_distance",0.0240684352027344,0.0124450511546475,1.93397639781868,0.0531160298265411
