"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.98113247718423,0.0692561030407531,57.4842115335535,0
"gender2",-0.0290512047502706,0.0165899560501551,-1.75113211044335,0.0799550683234407
"age",0.00257881965908057,0.000691202245600948,3.73091909856063,0.000191881678517754
"racehisp1",-0.0597449319299817,0.0217507430205429,-2.74679958627411,0.00602920093674867
"racehisp2",0.151036590407069,0.0490131479653393,3.08155253594153,0.00206506774232133
"racehisp4",-0.00147464283640154,0.0374943353541069,-0.0393297500135581,0.968628305106755
"racehisp97",-0.182301803071735,0.0578642842315122,-3.1505064910568,0.00163487856857169
"emply2",-0.125518823609642,0.0198334535267849,-6.32864182932788,2.58372960866055e-10
"educa2",-0.0501126783554229,0.0518577332296457,-0.96634918717918,0.333893806180282
"educa3",0.0309624023659858,0.0506054221092802,0.611839622622332,0.54065835042781
"educa4",0.0444030696474211,0.0515113075273131,0.862006261904282,0.388705587485236
"educa5",0.0665937965116296,0.0534883762943175,1.24501435873095,0.213156840066578
"own2",0.0379238865016813,0.0228785149857542,1.65762010887924,0.0974268182017115
"hhveh",0.0183041500246271,0.00927080072832508,1.97438717118602,0.0483663310311031
"child_any1",0.0675363145783915,0.0182170173871855,3.70732009214083,0.00021064246246183
"disabled1",-0.123584831440952,0.0600043968670049,-2.05959626116845,0.0394640364584342
"disabled2",0.05841581663389,0.0577133765934759,1.01217118252086,0.311481703165623
"walk_index_chts_adult_auto_min",-0.0113680551415427,0.00291761205995487,-3.8963559609493,9.83135983102788e-05
"transit_access",-0.00395981850303438,0.00383371875051185,-1.03289228050589,0.301680312185572
"majrd_index",-0.00825567361097613,0.00482118692762411,-1.71237368202285,0.0868600962632284
"regional_access",0.0229086316869078,0.00510838966750705,4.48451139751982,7.39292351372388e-06
"school_distance",0.014814546536763,0.00401962947871819,3.68555027651136,0.000229464685951525
"park_access",-0.00522937218899804,0.00484963548557178,-1.07830211251052,0.280926027833791
