"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.41221376007774,0.618649945866526,-5.51558079472285,3.4762999238407e-08
"gender2",-0.951801628136063,0.149551548259568,-6.36437161107871,1.96090864685358e-10
"age",-0.0107934627239686,0.00585747398066913,-1.84268214585147,0.0653754323069624
"racehisp1",0.857223434345934,0.226878936929777,3.77832973808079,0.000157883740325854
"racehisp2",-0.593072991794156,0.62109305222777,-0.954885889750158,0.339635406109389
"racehisp4",-0.286810222703845,0.40118622283304,-0.714905463798056,0.474667460621428
"racehisp97",0.356435575491977,0.550290715266736,0.647722314048504,0.517164569185138
"emply2",0.307296464211559,0.159952303205852,1.92117561330819,0.0547095715177814
"educa2",-0.127688261642907,0.46210244922753,-0.276320244258294,0.782302108317003
"educa3",-0.125020811220327,0.449341157866054,-0.27823138172799,0.780834746410201
"educa4",0.249271603856381,0.44941972643536,0.554652119597679,0.579132632062861
"educa5",0.718303202772966,0.453463586778576,1.58403722750005,0.113185247671097
"own2",0.196570294292508,0.167630328513653,1.17264158601525,0.240939565377453
"hhsize",0.168145877110982,0.0541420003221403,3.10564582229191,0.00189863979079582
"hhveh",-0.393629082579863,0.0935185878257132,-4.20909994185812,2.56389970000847e-05
"walk_index_chts_adult_bike_any",0.0332291647073452,0.0218707013335459,1.51934609688887,0.128675402321062
"transit_access",0.0877691282596247,0.0257365622608698,3.41028950836492,0.000648939544505338
"school_distance",-0.0717242683494888,0.0275953231537647,-2.59914580270837,0.00934560690298262
"park_access",0.105673534392696,0.0457244255781285,2.31109594175511,0.0208275561035816
