"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.4191915684734,0.277601106923895,15.9192145068965,2.55202406504235e-38
"age",-0.00758294984838362,0.00395576375708776,-1.91693698462069,0.0565593866151949
"racehisp1",-0.205847272686057,0.178487687842258,-1.15328555809395,0.250061924381544
"racehisp2",-0.524852837524244,0.491959010874925,-1.06686294167236,0.287219225993043
"racehisp4",-0.678243035255961,0.316774895991283,-2.14108833698307,0.0333818931157413
"racehisp97",-0.852811954761865,0.437119103143166,-1.95098303558367,0.0523463268768234
"hhveh",-0.0759919096283951,0.0536240953927212,-1.41712245347658,0.15788124714921
"incom5",-0.117228156371175,0.10837267973156,-1.08171318326307,0.280580608683181
"walk_index",-0.0242913312566245,0.0156514128426874,-1.55202162902334,0.122114250041331
"regional_access",0.0937413099132073,0.0380649302809334,2.46266863544374,0.0145694483760497
"park_access",0.0545790584336213,0.0376837962940078,1.44834289007926,0.148964533592966
