"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.9340824622005,0.189531379131366,-10.204550143963,1.89195851710178e-24
"walk_any",0.80125865436276,0.0709302009033905,11.2964385291126,1.36648071614461e-29
"emply2",0.427971708234479,0.0578000780373124,7.40434481694307,1.31799550902196e-13
"educa2",-0.0354384805955651,0.176538324115913,-0.20074100495197,0.840901094970764
"educa3",0.157489996382613,0.170818358021609,0.921973482280462,0.35654240776457
"educa4",0.533772282687073,0.171269068280094,3.11657141623577,0.00182967357372756
"educa5",0.68344063547752,0.175154080059889,3.9019395679726,9.54249841752048e-05
"hhsize",-0.153996090620527,0.0267558168138076,-5.75561163735638,8.63286480582753e-09
"hhveh",0.090849290822784,0.0315767504879022,2.87709436275245,0.00401355555320145
"child_any1",0.255684589335792,0.0705922255337937,3.62199360343713,0.00029234135190278
"disabled1",-0.452892662484386,0.192127109376059,-2.35725538137317,0.0184105806063887
"disabled2",-0.65480177430519,0.198633113013329,-3.29653885181395,0.000978840750943618
"walk_index",-0.0180109100250463,0.0078207915676558,-2.30295231233798,0.0212815263519869
"transit_access",-0.0190633046128679,0.0112927053690927,-1.6881078527952,0.0913905273014415
"rail_any",0.141851893011303,0.0922409864975679,1.53784015541772,0.124087702627981
"regional_access",0.0281740849668012,0.0150660033810104,1.870043717255,0.061477747239505
"park_access",0.0580006274845164,0.0149843130341763,3.87075652732484,0.000108498115251241
