"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.26481779257054,0.279538242327938,-4.52466818864351,6.04903326783812e-06
"age",-0.00793143742434672,0.00269685877728295,-2.94099101189776,0.00327164026821391
"racehisp1",0.217230776996381,0.0885578032887376,2.4529828985043,0.0141677074050025
"racehisp2",0.044759744115243,0.174252088032693,0.256867763368466,0.797280856879695
"racehisp4",0.34931506089166,0.13004801883234,2.68604676970899,0.00723029672455495
"racehisp97",0.153636379542404,0.221818003852216,0.692623578222993,0.488545809598193
"emply2",0.208387280425359,0.0726786044038233,2.86724383516638,0.00414063857460296
"educa2",-0.0605649777711289,0.202269049732695,-0.299427805940491,0.764613648745773
"educa3",-0.105206870797852,0.196902293307527,-0.534310032811742,0.593127052032126
"educa4",0.250253804499823,0.197941945201757,1.26427879772903,0.206129976860345
"educa5",0.48773819125525,0.20250585552985,2.40851401545451,0.0160176112584419
"own2",0.238784201722305,0.0767717293444554,3.11031422323366,0.00186888415712271
"hhsize",0.108994538363579,0.0319981821137978,3.40627283062372,0.000658563313028055
"hhveh",-0.506714470310414,0.044927936874172,-11.2783827961998,1.67802338274779e-29
"child_any1",-0.176295125004755,0.0868352630162651,-2.03022503624747,0.0423336700693865
"walk_index",0.0843876525498982,0.0111570711500371,7.5636026171275,3.92056251587445e-14
"transit_access",0.0235234445826416,0.0126315098772502,1.8622828791836,0.0625632274474401
"rail_any",0.399673675613406,0.0953690426938316,4.19081144493083,2.77958585323443e-05
"majrd_index",-0.0219459899804781,0.0171077585199666,-1.28280919764356,0.199558930980654
"regional_access",0.0270259372656321,0.0204378961820394,1.32234438539629,0.186053499041411
"school_distance",-0.0531557982344731,0.0137001491464742,-3.8799430331861,0.000104480932245483
"park_access",0.111431290918034,0.0210731163293766,5.28784111359436,1.23768410380337e-07
