"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",2.79227493253495,0.0923301352878175,30.2422922248591,8.43884875861753e-152
"gender2",-0.0930562201750009,0.0549729177654193,-1.6927648005167,0.0907453155177856
"own2",0.114819400015717,0.0652768562028278,1.75896032215385,0.0788248521559797
"hhsize",0.10830142428632,0.0258515690759618,4.18935593302246,2.99060372417488e-05
"hhveh",-0.0830451332879382,0.0352752792371375,-2.35420201012921,0.0187140136094519
"incom5",0.0737713078203042,0.0555464389167355,1.3281014815529,0.184383022712188
"child_any1",-0.189964176921564,0.0742159065148897,-2.55961539570297,0.0105936836686449
"disabled1",-0.0442735276701379,0.185140297475466,-0.239135014223496,0.811039445597051
"disabled2",-0.387460398816042,0.191848030020431,-2.01962146170997,0.0436321914690315
"walk_index_chts_adult_walk_min",0.0377411337866818,0.0129250739961551,2.9199936339172,0.0035621176319703
"regional_access",0.0684173968483176,0.0174827044406215,3.91343324945471,9.58142778833205e-05
"park_access",0.0274447829136771,0.0177124272540348,1.54946482038058,0.121518969981639
