"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.07117977762108,0.29887682764916,3.5840174899022,0.000338349414028005
"gender2",0.161884982091512,0.0776019906637358,2.08609316213279,0.0369701849817419
"age",-0.0342605013649355,0.0197100666231243,-1.73822351897788,0.0821714365060643
"educa_hh2",0.0139956863351139,0.142634671150315,0.0981226108788412,0.92183493327702
"educa_hh3",0.458767934720065,0.144805591880736,3.1681644939369,0.00153404696752769
"educa_hh4",0.42130121933588,0.163534115082704,2.57622832473099,0.00998846644096711
"educa_hh5",0.437646213839627,0.173570306921137,2.52143480992101,0.0116877329731204
"own2",-0.304214114293268,0.0959338693640683,-3.17108145756925,0.0015187254923187
"hhsize",-0.211021697765281,0.032288772465639,-6.53545123122427,6.34180451499232e-11
"hhveh",0.370161405654564,0.0603099187995183,6.13765385566263,8.37490955909507e-10
"incom2",0.391625561670266,0.160377279062454,2.44190177037334,0.0146101213447507
"incom3",0.606209774377665,0.202800017954204,2.98919980625721,0.00279709153345489
"incom4",0.86693919890655,0.203698208509546,4.25599815162795,2.08118425287167e-05
"incom5",0.914787218060387,0.211330100566433,4.32871235857296,1.49983669532458e-05
"incom6",0.873964659234059,0.215293604231085,4.0594083709797,4.91972083613237e-05
"incom7",1.12439199168566,0.226456742047565,4.96515131993507,6.86475239017714e-07
"walk_index",-0.0165474030221338,0.0105330712480583,-1.57099507184899,0.116183793506098
"rail_any",-0.369888733439514,0.133649636496349,-2.76759999605099,0.00564707185961143
"majrd_index",0.0332448262070267,0.0222689832957697,1.49287579794188,0.135469701416139
