"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.61665697308239,0.146469481899107,31.5195828729871,1.55362047388103e-158
"walk_any",-0.225217609989412,0.0565009519136114,-3.98608523151546,7.13126052589495e-05
"age",0.0258826526430636,0.0120466445451315,2.14853626220122,0.0318750515417272
"educa_hh2",-0.0674362933218515,0.121489835078194,-0.555077659611997,0.578947194056397
"educa_hh3",0.14343786314639,0.113189509251256,1.26723637283371,0.205321881535779
"educa_hh4",0.0330408207835718,0.106452722814242,0.31038023180701,0.756326869222061
"educa_hh5",-0.0657501994307663,0.102683056539023,-0.640321798424252,0.522088254979513
"hhveh",-0.0634070315227795,0.0339030307071494,-1.87024670656976,0.0616980380317243
"disabled1",-0.645854166340796,0.330441976839226,-1.95451610754354,0.0508771014320853
"disabled2",0.295450770640526,0.332212058447029,0.889343908892563,0.374000316338746
