"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.137040721217818,0.246242310616023,-0.556527921115523,0.577850012583646
"racehisp1",-0.189196347686456,0.0982721903314244,-1.92522774803725,0.0542008721259702
"racehisp2",-0.559078381133755,0.220953226154908,-2.53030195966358,0.0113964400379597
"racehisp4",-0.393415309986983,0.161740742153152,-2.43238224797101,0.0149998679005956
"racehisp97",0.0435426999725037,0.304820568772602,0.142846987484584,0.886411026926484
"own2",0.10140200071862,0.0957244475983967,1.05931142213579,0.289457974761723
"hhsize",0.143547538569078,0.0319257508550549,4.49629326560848,6.91483472434526e-06
"hhveh",-0.543594167738925,0.0602243905977106,-9.02614642246938,1.77823562727219e-19
"incom2",-0.105638230839606,0.164906022065077,-0.640596562313036,0.521784833645607
"incom3",-0.421192503122428,0.205681621253467,-2.04778871615068,0.0405807064733628
"incom4",-0.743410916202544,0.203471835113092,-3.65363056655654,0.000258558213479227
"incom5",-0.643777145358675,0.205716650244446,-3.12943626387896,0.00175142063398144
"incom6",-0.397513290595999,0.202973576427855,-1.95844847192359,0.0501774117705548
"incom7",-0.289677213456622,0.207482946071139,-1.39614950983635,0.162669477326831
"disabled1",-1.04533262966355,0.455206090603544,-2.29639420746233,0.021653351878904
"disabled2",-1.10854856931959,0.768256709846639,-1.4429403025206,0.149037288679995
"walk_index_chts_child_walk_any",0.1110882124082,0.0243131296694473,4.56906263893281,4.89910360093646e-06
"rail_any",0.14658635177194,0.128405124253801,1.14159269440215,0.253623362125622
"majrd_index",-0.0458599803066825,0.0212876935158156,-2.15429540417852,0.0312170130670033
"regional_access",0.0822165263261012,0.0239935872790558,3.42660417426904,0.000611179274968266
"school_distance",-0.0831894581393894,0.0166289292022409,-5.00269482945294,5.65343984211782e-07
"park_access",0.0582213791050813,0.0244686386111491,2.37942862413901,0.0173395006743001
