"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",2.7089951677339,0.2104678791751,12.8712997838503,3.24112527528313e-35
"gender2",0.0727324316967545,0.0539071401202788,1.34921703385623,0.177569641475524
"age",0.0153782834776945,0.013621706164184,1.1289542802009,0.259185192882046
"emply_hh",-0.071441059410508,0.0434651888820727,-1.64363853575646,0.100562113423596
"educa_hh2",0.00922731072851264,0.0971609091573456,0.0949693740881904,0.924357990631601
"educa_hh3",-0.224777087660162,0.101327121578328,-2.21833092817508,0.0267540369471198
"educa_hh4",-0.167874176282521,0.117951234109306,-1.42325069805502,0.154972305959591
"educa_hh5",-0.156192093638558,0.123234041019245,-1.26744276456995,0.205289154572914
"own2",0.188667942757561,0.0710493908270062,2.65544771829131,0.00804501662906557
"hhsize",0.0723733809227244,0.0230936083740971,3.13391392762605,0.00177465662468341
"hhveh",-0.159560188952885,0.0428658569360439,-3.7223142229712,0.000208305460657894
"incom2",-0.245453407844921,0.10530594751024,-2.33085987684649,0.0199568233182804
"incom3",-0.152312318632255,0.14800675235548,-1.02909033681406,0.303683603438446
"incom4",-0.332537643662314,0.1459350236867,-2.27866919990517,0.02289479131099
"incom5",-0.172229417893864,0.15422628984029,-1.11673190136531,0.26437456353289
"incom6",-0.0788502416621635,0.153574207655124,-0.513434142790662,0.60775995915367
"incom7",-0.299334149930609,0.154089961617302,-1.94259344858581,0.0523429501514757
"walk_index",0.0237461111999694,0.00728159195624378,3.26111533613301,0.0011468672160127
"school_distance",0.0328205282697955,0.0106070956192241,3.09420499710706,0.00202769037622158
