"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.87201185526005,0.326011888360652,11.8769038599495,1.56040535031858e-32
"age",-0.0386314262669111,0.0037731284798034,-10.2385663445322,1.33195386030209e-24
"racehisp1",-0.122495450623101,0.088771900590604,-1.37988991795976,0.167620541287551
"racehisp2",-0.283133482322144,0.151763785954367,-1.86561952538056,0.0620946158842757
"racehisp4",-0.366284728410878,0.142389019704076,-2.57242257283687,0.0100989542448523
"racehisp97",-0.646543972848559,0.182897779343259,-3.53500176530377,0.000407772434259728
"emply2",-0.381483544213618,0.0733833876599438,-5.19850004719596,2.00903074086863e-07
"educa2",0.179549732674137,0.110527962798174,1.62447337423561,0.104274818446213
"educa3",0.395219741280422,0.112016758930868,3.52821975079938,0.000418364686592152
"educa4",0.540406633419728,0.119983471786656,4.50400897200766,6.6683389242533e-06
"educa5",0.61552017399534,0.124244045100845,4.95412213515538,7.26575606309063e-07
"own2",-0.375365561256179,0.0849353767567512,-4.41942539833783,9.89636757223001e-06
"hhsize",-0.269905327996126,0.0284841939033052,-9.4756175622301,2.65187371364079e-21
"hhveh",0.331502557554047,0.0385602912722178,8.5969930884026,8.18319134631601e-18
"incom2",0.209453947576944,0.148790799168127,1.4077076589949,0.159217652984567
"incom3",0.411176606913165,0.160937980899579,2.55487613685006,0.0106225590709464
"incom4",0.398565392537213,0.159609034435793,2.49713554089287,0.0125201091280493
"incom5",0.458918060075045,0.165660134119523,2.77023837095254,0.00560152815992687
"incom6",0.435664778929096,0.170840595491721,2.55012444597928,0.0107684472999274
"incom7",0.422779985429923,0.182292111878029,2.31924454149065,0.0203817806018428
"disabled1",-0.832639821183369,0.0905838390924882,-9.19192462502305,3.85874427230975e-20
"disabled2",-0.737173577872053,0.0791755101832958,-9.31062617930032,1.27080904480589e-20
"walk_index",-0.0251191772724641,0.00727316952503458,-3.45367685793693,0.000552999567936385
"rail_any",-0.372993768567469,0.0991337467729052,-3.76253072953976,0.000168202633326633
"majrd_index",0.0419065667782925,0.0156671104382748,2.67481147486614,0.00747712835943919
"regional_access",0.0322295529639379,0.0153381978473238,2.10126074032624,0.0356180840511041
