"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.54118727628486,0.155904263358011,29.1280506284596,5.54722094803619e-175
"age",-0.00514340362425053,0.00173455299754362,-2.96526173114014,0.00303572802881619
"racehisp1",-0.0810332315985089,0.0378154815334418,-2.14285864710853,0.032163096365669
"racehisp2",0.05343291575006,0.0676615547391386,0.789708660347291,0.429728001647525
"racehisp4",-0.0295611273988791,0.0635818374547695,-0.464930372921483,0.64199757557096
"racehisp97",-0.059942074473413,0.0834858097888103,-0.717991172692046,0.472789665095275
"emply2",-0.107805917736001,0.024600250056326,-4.38230983380911,1.19356020454521e-05
"educa2",-0.0732937260524318,0.0575715707914873,-1.27308887085758,0.203034033032617
"educa3",-0.00363037066807056,0.056872763949466,-0.0638332026784615,0.94910508914396
"educa4",-0.00512532843289774,0.0588048272884347,-0.0871582941270836,0.930548492068654
"educa5",0.0348507391500513,0.0597348320635737,0.583424075135272,0.559628984234006
"own2",-0.041128762914629,0.03960488893337,-1.03847691591366,0.29908839843359
"hhsize",-0.0381381816202551,0.0126237442203021,-3.02114657542882,0.00252842170552299
"hhveh",0.0171748226968591,0.0148205974823301,1.15884819875419,0.246562505009484
"incom2",0.0165678540090041,0.0814231350017996,0.203478458654754,0.838767729732166
"incom3",0.0114953462127435,0.0845120731486429,0.136020165929725,0.891809735848917
"incom4",0.0747824741409976,0.0836719842917704,0.893757627167363,0.371486125601343
"incom5",0.0784334275720403,0.0851085173646319,0.921569661894198,0.356788791610486
"incom6",0.143350468305348,0.0861354027475314,1.66424563806264,0.096113664846897
"incom7",0.176259966155124,0.0886696249579167,1.98782803286671,0.0468744338211135
"walk_index_chts_senior_auto_min",-0.0219721569070387,0.00335221853792062,-6.55451208162225,6.03023603430416e-11
