"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.868231233719142,0.453224253686236,-1.91567690091054,0.0554062343877328
"walk_any",0.969124606076004,0.0869439139655698,11.1465491012951,7.44375364734835e-29
"gender2",-0.0931767318607108,0.0610786172782195,-1.52552130373681,0.127129124039689
"age",-0.017930646112106,0.0049041968209095,-3.65618403316463,0.000255997603537498
"racehisp1",0.260801670584459,0.116800893754768,2.23287392930427,0.025557259258224
"racehisp2",-0.304815938988238,0.222575965153212,-1.36949170939646,0.170845624580004
"racehisp4",0.37552309561354,0.1731422794741,2.16886999959888,0.0300925549615608
"racehisp97",0.192203345413302,0.227837466172961,0.843598503098662,0.398893801048678
"emply2",0.413934292506045,0.0716873081321519,5.77416425991304,7.73359658180647e-09
"educa2",-0.224810520535907,0.174463546538605,-1.28858162634085,0.197543574450475
"educa3",-0.00998394759367907,0.168385370200368,-0.0592922507566945,0.952719333257832
"educa4",0.161070220524021,0.171758019594925,0.937774089989451,0.348360519097905
"educa5",0.41522093019973,0.172354059614679,2.40911604361402,0.0159912124726216
"own2",-0.472202394505467,0.119546605921384,-3.94994396424768,7.81694916119596e-05
"hhsize",-0.198404827485123,0.0389583386189973,-5.0927435439553,3.52918931788586e-07
"hhveh",0.0467318931869684,0.0416633417620081,1.12165494198505,0.262009181437971
"incom2",0.184553671004438,0.25032092117548,0.737268264026012,0.46095922760035
"incom3",0.401393728668159,0.257922146893947,1.55625925691912,0.119646455605657
"incom4",0.36469058468731,0.255471120330462,1.42752176533914,0.153429556072542
"incom5",0.538233089060881,0.258081904650958,2.08551269717578,0.0370227868267924
"incom6",0.703841376745486,0.259715819519567,2.71004430168128,0.006727422178715
"incom7",0.453415728326342,0.267543138522387,1.69473876560808,0.0901249882930132
"disabled1",-0.78263755154355,0.155077371032216,-5.04675534756753,4.49376178690392e-07
"disabled2",-0.96975297871857,0.141697750996971,-6.84381348253932,7.71123101824844e-12
"transit_access",0.0256298017159066,0.0122669815864438,2.08933237042028,0.0366778144209154
"rail_any",-0.256345575519025,0.121153827971439,-2.11586855992248,0.0343559880668844
"regional_access",0.027793623631292,0.0167964416982511,1.65473283750248,0.0979787029697421
"park_access",0.0402036193785026,0.0169074084191463,2.37787000714877,0.0174129633157749
