"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.65514494213217,0.352898996590964,16.0248257908392,2.35443671040963e-53
"walk_any",-0.785095241714081,0.0677788806045214,-11.5831839462646,9.6319723424937e-30
"gender2",-0.123104042261887,0.0533524954880428,-2.30737177588022,0.0211737026839566
"age",-0.0150124720781419,0.00421807204693093,-3.55908384473067,0.000384097801246998
"racehisp1",0.0396371481873364,0.105079363295046,0.377211537493253,0.706071340943244
"racehisp2",-0.139613428019305,0.207979783377813,-0.671283649553983,0.502146256726247
"racehisp4",0.289050614015437,0.150440083825869,1.92136700980576,0.0548803558357095
"racehisp97",0.35253834368849,0.200472196411815,1.7585398374361,0.0788656164487243
"educa2",-0.481460620238943,0.160739927463096,-2.99527707793373,0.00278823517052341
"educa3",-0.278662281942489,0.153111577582982,-1.81999484520667,0.0689648917916091
"educa4",-0.29278368396538,0.154879274339051,-1.89039937857946,0.0589028587524268
"educa5",-0.23973795246105,0.153151947338299,-1.56536013173564,0.117715642897471
"own2",0.23087885552695,0.103587081085181,2.228838317561,0.0259766939632903
"transit_access",0.0134349071344238,0.0100313640990503,1.3392901505485,0.180685116260004
"rail_any",0.164745886383842,0.104959337035339,1.56961630129554,0.11672153515013
