"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.19937453429983,0.503114728198203,2.38389867574565,0.0171303182114179
"age",-0.0366539479859962,0.00633612885731707,-5.78491201984751,7.25502909599558e-09
"racehisp1",-0.0748866465972008,0.132301194632695,-0.566031522278443,0.571372352135536
"racehisp2",-0.269493737563898,0.223340557194891,-1.20664934729581,0.227567213820682
"racehisp4",0.3742968120257,0.192955730873614,1.93980666099451,0.0524031908424947
"racehisp97",0.181758659076733,0.26304042400941,0.690991355268768,0.489570973665322
"emply2",0.141198199385559,0.0906726383037122,1.55723051658218,0.11941576550994
"educa2",-0.552152579419388,0.182838605271936,-3.01989056741146,0.00252866031380521
"educa3",-0.141230083520304,0.171831458005384,-0.821910523018893,0.411127823476627
"educa4",0.0412445388005983,0.178315337400323,0.231301128674103,0.817080869903393
"educa5",0.32341160216084,0.177351466662547,1.82356316667066,0.0682181393302268
"own2",0.492356382168032,0.107733044039869,4.57015195807357,4.87370694227513e-06
"hhsize",0.118608360311771,0.0417595976891929,2.84026587599204,0.00450759472831198
"hhveh",-0.526857536711088,0.0579927766947637,-9.08488206184925,1.03811167956274e-19
"disabled1",-0.484341066509403,0.162945706350561,-2.97240766484139,0.00295474070256632
"disabled2",-0.747325620252114,0.15595821204855,-4.7918324430359,1.65264899495775e-06
"walk_index_chts_senior_walk_any",0.132021489386438,0.0198896591609252,6.63769491061992,3.18626490465641e-11
"rail_any",0.240611384245194,0.118675583858926,2.02747167042564,0.0426141988119511
"regional_access",0.065706281238224,0.0242370347915336,2.71098679369708,0.00670832980328669
"school_distance",-0.0658684261165979,0.0166861366073267,-3.94749411842139,7.8973457560165e-05
"park_access",0.122565813166249,0.0253895289497344,4.82741579841447,1.38316138935262e-06
