"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.99520315894199,0.38754378977466,2.56797602025995,0.0102294232156432
"gender2",0.193694041808375,0.0717718051634649,2.69874836458724,0.00696007814947475
"age",-0.0441056310091615,0.0214240334895109,-2.05869875206998,0.0395231058574775
"racehisp1",0.0419246696335107,0.0952794870005414,0.440017793476076,0.659924220094903
"racehisp2",-0.389214628920611,0.190959111299045,-2.03820925994516,0.0415290098380182
"racehisp4",-0.284402832318118,0.156546962494236,-1.81672533140712,0.069259180991483
"racehisp97",-0.179449486587673,0.315618915499251,-0.568563789352792,0.569652204486966
"emply_hh",-0.134727777724,0.0537748190527662,-2.50540643552514,0.0122310754219191
"educa_hh2",0.115314054861046,0.156849151323879,0.735190811603012,0.462223294151075
"educa_hh3",0.523285899548576,0.152129559669185,3.43973847480065,0.00058227654781939
"educa_hh4",0.816690929012345,0.165174695643224,4.94440704632136,7.63759727975493e-07
"educa_hh5",1.00581612790382,0.169324089176225,5.9401833064462,2.84703550645312e-09
"own2",-0.406349777083479,0.0940312124416415,-4.32143504834282,1.55017685859517e-05
"hhsize",-0.0941791896163258,0.02999567241789,-3.139759239408,0.00169086735474766
"hhveh",0.230141692630771,0.0489655076003075,4.70007774675506,2.60062462230069e-06
"disabled1",-0.674547844797201,0.297827142549117,-2.26489714477906,0.0235189920359898
"disabled2",-0.629710282314224,0.420975559577571,-1.4958357272477,0.134696468599733
"walk_index",0.014146615538374,0.0109268341131029,1.29466736585761,0.195435002306621
"majrd_index",0.0373467682878247,0.0206254421982355,1.81071358028968,0.0701851995863571
"regional_access",-0.0441334439379043,0.0214673907419024,-2.05583642970452,0.0397982852910829
"school_distance",0.0757704280627572,0.0161414761954885,4.6941448938812,2.6772423059744e-06
