"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.63504029674454,0.170647358474884,21.3014741583565,5.95306002609466e-95
"gender2",0.0451094072071267,0.0300791805892772,1.49968869907339,0.133782334050964
"age",0.0115053255738304,0.0088403998672818,1.30144854831867,0.193187852849365
"racehisp1",-0.0517506543066755,0.0392521029222834,-1.31841737012507,0.187447447109938
"racehisp2",0.091955106874481,0.0953171581332855,0.964727743413171,0.334745690046438
"racehisp4",-0.150354495837813,0.0668889888159252,-2.24782133052692,0.024647593430966
"racehisp97",0.195273831927036,0.140240171304706,1.39242436821298,0.163879522093153
"educa_hh2",-0.0127666658541212,0.0893239700761959,-0.142925419047439,0.886357044252592
"educa_hh3",0.0306226060190309,0.082326858892997,0.37196373614633,0.709941639204523
"educa_hh4",0.0600438604672797,0.0846579417558878,0.709252542902791,0.478213486354014
"educa_hh5",0.134987478320809,0.0850163276629695,1.58778298276938,0.11242282620283
"own2",-0.046008454603608,0.043634002950661,-1.0544174609795,0.291762258896221
"hhsize",-0.0325052689971425,0.0126870140912788,-2.5620897685837,0.0104446039130041
"walk_index",-0.0193161708830098,0.00414417362925644,-4.66104285463435,3.25959961562153e-06
"rail_any",0.0633776457514212,0.0626787633302385,1.01115022671236,0.312012169179471
"majrd_index",0.0128656672582832,0.00889198898148147,1.44688295105598,0.148016363714785
