"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.1180918537855,0.406403097124698,-2.75118930366428,0.00593793179365765
"walk_any",0.383972729710692,0.0834842962886168,4.59934079558202,4.23829948438255e-06
"gender2",-0.340040682765164,0.0723611906092064,-4.69921348588067,2.61165336441238e-06
"age",-0.0360135389192847,0.0212812108002915,-1.69226926311878,0.0905946455492707
"racehisp1",0.0391075877052582,0.0956489247402725,0.408865941895864,0.682638044232216
"racehisp2",-0.00316402756644744,0.218717145235084,-0.0144662987579078,0.988457966144721
"racehisp4",-0.295459228814134,0.166645443278281,-1.77298114488943,0.0762318312791909
"racehisp97",-0.596122817744939,0.392700142966709,-1.51801018772605,0.129011830420491
"emply_hh",-0.0848409399199179,0.0546773759130489,-1.55166444078876,0.120742535319981
"educa_hh2",0.255900849960631,0.21961509985478,1.16522429527771,0.243928213756928
"educa_hh3",0.225570426688743,0.212283214274698,1.06259191269287,0.287967056139914
"educa_hh4",0.461914906571968,0.222391101530622,2.07703861976854,0.0377979949183807
"educa_hh5",0.750150073706238,0.225991034717991,3.31937979151401,0.000902176375710267
"own2",-0.123055891163339,0.111811065684819,-1.10056988017821,0.271083900440457
"hhveh",0.0673594863658135,0.0458192519433827,1.47011318406174,0.141531102200954
"incom2",-0.27118091262314,0.222675194303528,-1.21783170986479,0.223287931512562
"incom3",-0.251119415475726,0.245275965859629,-1.02382397963705,0.305918421935507
"incom4",-0.0257590105899071,0.24172055575094,-0.106565246426325,0.91513389087155
"incom5",-0.141509973820972,0.246124586709233,-0.574952611248666,0.56532334691347
"incom6",0.122734351792376,0.243672045649897,0.503686631205607,0.614481604318406
"incom7",0.147265334686284,0.249065285680089,0.591272020443022,0.554338173580046
"transit_access",0.0311517523783484,0.0154175778732083,2.02053478403259,0.0433279458637768
"regional_access",-0.0561591541323192,0.0206822964429752,-2.71532488121714,0.00662107826405385
"park_access",0.0507816099057532,0.0210490138672616,2.41254104472495,0.0158417536471853
