"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.233346930468631,0.222813489526771,-1.04727470030756,0.294972901127043
"gender2",-0.104871512075032,0.0708004081588658,-1.4812275070465,0.138545958581043
"educa_hh2",-0.377828495445321,0.160045817765897,-2.36075206912298,0.0182379190896549
"educa_hh3",-0.611721210483472,0.149424231355833,-4.09385549407139,4.24258784050669e-05
"educa_hh4",-0.594543045222462,0.155191750152647,-3.83102223306114,0.000127611972382175
"educa_hh5",-0.703131430325155,0.156653512955271,-4.48844980913975,7.17433219907606e-06
"own2",0.108974597008312,0.0949325522691882,1.14791601409079,0.251003236576207
"hhsize",0.160095602623242,0.0290875036419656,5.50393064299496,3.71415714229986e-08
"hhveh",-0.364350210762076,0.0465539439325872,-7.8264091070281,5.02001942505061e-15
"disabled1",-0.818371737772814,0.400145453097721,-2.04518564796226,0.0408365588834277
"disabled2",-0.604253699625212,0.512233674864879,-1.17964462173364,0.238141587808681
"walk_index_chts_teens_walk_any",0.0670443290702168,0.0128344254533401,5.22378888824887,1.75298629221141e-07
"majrd_index",-0.0252604687430435,0.0201851734074544,-1.25143679636236,0.210775159471328
"regional_access",0.0374870813332374,0.0219226026828682,1.70997403344505,0.087270674845005
"school_distance",-0.0533718317143358,0.0160777014830113,-3.31961827819306,0.00090140610618638
"park_access",0.0834366893175088,0.0225221456326391,3.70465099899685,0.000211681980012511
