"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",2.66468070051229,0.235512982429823,11.3143686306393,3.41832762382343e-28
"age",0.0335133449557836,0.0151767368535908,2.2082049177689,0.0274300343778
"racehisp1",-0.116095536654523,0.0703598682547123,-1.65002492947033,0.0992154995151281
"racehisp2",0.274159643527657,0.132716726692688,2.06575049249434,0.0390793943324116
"racehisp4",-0.152191721376632,0.110540914805643,-1.37679086195568,0.168849380047089
"racehisp97",-0.312706062889914,0.232551431578149,-1.34467485651589,0.178999859248066
"educa_hh2",0.0165047344070961,0.101276644153315,0.162966837468576,0.870573658251984
"educa_hh3",-0.116213408847463,0.0972356105983002,-1.19517333343607,0.232269862799299
"educa_hh4",-0.0541421080062827,0.108617380413555,-0.498466339366126,0.618252309517659
"educa_hh5",-0.330726952551465,0.110989984535605,-2.97979095983539,0.0029460630247935
"own2",0.135456455077338,0.066272327020404,2.04393690651052,0.0411910256808519
"disabled1",0.0288921841041215,0.304048012202088,0.0950250715170539,0.924311745407606
"disabled2",0.697549777478511,0.382039887107246,1.8258558884002,0.0681355346117403
"walk_index_chts_teens_walk_min",0.0506920362214322,0.0110878523434415,4.57185347092189,5.36624688231926e-06
"park_access",0.0374796981513144,0.0165698259009376,2.26192468016177,0.0238912432239617
