name,ptid,place_type,pt__key,intersections_sqmi,block_avg_size_acres,street_pattern,building_number_of_Floors_range,building_min_number_of_Floors,building_max_number_of_Floors,building_avg_number_of_Floors,avg_estimated_building_height_feet
Urban Mixed Use,1,Urban Mixed Use,pt__urban_mixed_use,200, 2.350781 ,Walkable Grid,3 - 40,3,40,20,168
Urban Residential,2,Urban Residential,pt__urban_residential,200, 2.350781 ,Walkable Grid,2 - 40,2,40,16,159
Urban Commercial,3,Urban Commercial,pt__urban_commercial,200, 2.350781 ,Walkable Grid,3 - 40,3,40,15,81
City Mixed Use,4,City Mixed Use,pt__city_mixed_use,200, 2.350781 ,Walkable Grid,2 - 40,2,40,8,69
City Residential,5,City Residential,pt__city_residential,200, 2.350781 ,Walkable Grid,2 - 17,2,17,6,65
City Commercial,6,City Commercial,pt__city_commercial,200, 2.350781 ,Walkable Grid,1 - 40,1,40,6,46
Town Mixed Use,7,Town Mixed Use,pt__town_mixed_use,200, 2.350781 ,Walkable Grid,1 - 6,1,6,4,36
Town Residential,8,Town Residential,pt__town_residential,220, 2.350781 ,Walkable Grid,2 - 4,2,4,3,34
Town Commercial,9,Town Commercial,pt__town_commercial,200, 2.350781 ,Walkable Grid,1 - 7,1,7,3,31
Village Mixed Use,10,Village Mixed Use,pt__village_mixed_use,220, 2.350781 ,Walkable Grid,1 - 6,1,6,3,31
Village Residential,11,Village Residential,pt__village_residential,180, 2.350781 ,Walkable Grid,2 - 4,2,4,3,24
Village Commercial,12,Village Commercial,pt__village_commercial,230, 2.350781 ,Walkable Grid,1 - 6,1,6,2,27
Neighborhood Residential,13,Neighborhood Residential,pt__neighborhood_residential,180, 2.350781 ,Walkable Grid,2 - 2,2,2,2,28
Neighborhood Low,14,Neighborhood Low,pt__neighborhood_low,230, 2.350781 ,Walkable Grid,2 - 3,2,3,2,44
Office Focus,15,Office Focus,pt__office_focus,45, 11.736111 ,Auto-Oriented,1 - 5,1,5,4,29
Mixed Office and R&D,16,Mixed Office and R&D,pt__mixed_office_and_rd,45, 11.736111 ,Auto-Oriented,1 - 6,1,6,2,25
Office/Industrial,17,Office/Industrial,pt__officeindustrial,40, 14.692378 ,Auto-Oriented,1 - 5,1,5,2,18
Industrial Focus,18,Industrial Focus,pt__industrial_focus,35, 16.586318 ,Auto-Oriented,1 - 2,1,2,1,16
Low-Density Employment Park,19,Low-Density Employment Park,pt__low_density_employment_park,35, 9.699265 ,Auto-Oriented,1 - 2,1,2,1,51
High Intensity Activity Center,20,High Intensity Activity Center,pt__high_intensity_activity_center,130, 6.944444 ,Auto-Oriented,1 - 40,1,40,5,31
Mid Intensity Activity Center,21,Mid Intensity Activity Center,pt__mid_intensity_activity_center,70, 6.944444 ,Auto-Oriented,1 - 7,1,7,3,24
Low Intensity Retail-Centered N'Hood,22,Low Intensity Retail-Centered N'Hood,pt__low_intensity_retail_centered_nhood,65, 8.264463 ,Auto-Oriented,1 - 6,1,6,2,19
Retail: Strip Mall/ Big Box,23,Retail: Strip Mall/ Big Box,pt__retail_strip_mall_big_box,60, 9.699265 ,Auto-Oriented,1 - 2,1,2,1,50
Industrial/Office/Res Mixed High,24,Industrial/Office/Res Mixed High,pt__industrialofficeres_mixed_high,60, 9.699265 ,Auto-Oriented,2 - 17,2,17,5,27
Industrial/Office/Res Mixed Low,25,Industrial/Office/Res Mixed Low,pt__industrialofficeres_mixed_low,60, 9.699265 ,Auto-Oriented,1 - 3,1,3,2,40
Suburban Multifamily,26,Suburban Multifamily,pt__suburban_multifamily,90, 5.739210 ,Auto-Oriented,3 - 3,3,3,4,32
Suburban Mixed Residential,27,Suburban Mixed Residential,pt__suburban_mixed_residential,90, 5.739210 ,Auto-Oriented,1 - 3,1,3,3,28
Residential Subdivision,28,Residential Subdivision,pt__residential_subdivision,90, 5.739210 ,Auto-Oriented,1 - 3,1,3,2,29
Large Lot Residential Area,29,Large Lot Residential Area,pt__large_lot_residential_area,20, 10.000000 ,Auto-Oriented,1 - 3,1,3,2,25
Rural Residential,30,Rural Residential,pt__rural_residential,15, 19.983678 ,Auto-Oriented,2 - 2,2,2,2,25
Rural Ranchettes,31,Rural Ranchettes,pt__rural_ranchettes,10, 40.000000 ,Auto-Oriented,1 - 2,1,2,2,16
Rural Employment,32,Rural Employment,pt__rural_employment,10, 74.380165 ,Auto-Oriented,1 - 2,1,2,1,82
Campus/ University,33,Campus/ University,pt_campus_university,150, 10.000000 ,Auto-Oriented,3 - 17,3,17,8,71
Institutional,34,Institutional,pt__institutional,130, 4.985216 ,Auto-Oriented,1 - 6,1,6,7,15
Parks & Open Space,35,Parks & Open Space,pt__parks_open_space,50, 40.000000 ,Auto-Oriented,1 - 1,1,1,1,15
