ptid,pt__key,study_area_name,study_area_aerial_map_view,study_area_street_view
1,pt__urban_mixed_use,"Union Square, New York City, NY",http://goo.gl/maps/0nFiZ,http://goo.gl/maps/8psdm
1,pt__urban_mixed_use,"Brooklyn Heights, New York City, NY",http://goo.gl/maps/qUQyv,http://goo.gl/maps/cCQJp
1,pt__urban_mixed_use,"Brewery Blocks, Portland, OR",http://goo.gl/maps/dIKwG,http://goo.gl/maps/Jqr1G
2,pt__urban_residential,"Rincon Hill Plan, San Francisco, CA",http://goo.gl/maps/neM0b,http://goo.gl/maps/aXfes
2,pt__urban_residential,"Tenderloin, San Francisco, CA",http://goo.gl/maps/F7Yz0,http://goo.gl/maps/MhRC0
2,pt__urban_residential,"Upper West Side near 72nd Street, New York City, NY",http://goo.gl/maps/aOUec,http://goo.gl/maps/w6G18
3,pt__urban_commercial,"Financial District, San Francisco, CA",http://goo.gl/maps/beBGb,http://goo.gl/maps/MGjFd
3,pt__urban_commercial,"SOMA, San Francisco, CA",http://goo.gl/maps/95O4F,http://goo.gl/maps/I3w9U
3,pt__urban_commercial,"Downtown, Los Angeles, CA",http://goo.gl/maps/ajj8u,http://goo.gl/maps/zQmJg
4,pt__city_mixed_use,"Pearl District, Portland, OR",http://goo.gl/maps/CeXG2,http://goo.gl/maps/a7jcn
4,pt__city_mixed_use,"South Waterfront, Portland, OR",http://goo.gl/maps/GOmhQ,http://goo.gl/maps/9VjeF
4,pt__city_mixed_use,"Mission Bay, San Francisco, CA",http://goo.gl/maps/CvzEs,http://goo.gl/maps/y8x70
5,pt__city_residential,"Northwest Alphabet District, Portland, OR",http://goo.gl/maps/c8dCZ,http://goo.gl/maps/ky60p
5,pt__city_residential,"Marina District, San Diego, CA",http://goo.gl/maps/hu7Eb,http://goo.gl/maps/mUuOX
5,pt__city_residential,"Jack London Square, Oakland, CA",http://goo.gl/maps/AR62C,http://goo.gl/maps/JezjS
6,pt__city_commercial,"Downtown, Oakland, CA",http://goo.gl/maps/PYWyn,http://goo.gl/maps/YiUEG
6,pt__city_commercial,"Downtown, Sacramento, CA",http://goo.gl/maps/AAeqB,http://goo.gl/maps/iRWIW
6,pt__city_commercial,"Downtown, Portland, OR",http://goo.gl/maps/aZQte,http://goo.gl/maps/VKvCf
